PropertyID,NewPropertyID,Property,Address,YearAcquired,OwnedAcres,PolParkFinder,Zip,SubArea,SpecialInfo,ProgramInfo,HistoricalInfo,Phone,AltProperty,PayToPark,Facebook,ActivityCatalog,ConstantContact,latitude,longitude
135,135,Gabriel Community Garden and Orchard,4151 SW Canby Street,1975,1.03089558,1,97219,SW,,,"Adjacent to Gabriel Park, this was one of PP&R’s first community gardens. The demonstration orchard was added in 1991. <p>",5038231612,Gabriel Community Garden and Orchard,,PDXcommunitygardens,,,45.470355,-122.720017
136,136,Gabriel Park,SW 45th Avenue and Vermont Street,1950,89.67281512,1,97219,SW,"Park hours: 5:00am-midnight. Parking lot off SW Canby closed at 10:00pm.  To reserve a sports field or picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps & Info</a>  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>  <b>Accessibility Information</b>  <i>Parking</i> - Parking lot - 2 designated parking spaces - Paved pathway to play area with slight slope - 200 feet to play area  <i>Play Area</i> - Engineered mulch surface - Rubberized surface at transfer station - Ramp into play area  <i>Play Equipment</i> - Transfer station - Sensory play elements  <i>Other Amenities</i> - Accessible restroom - Accessible picnic table","<a href=""https://www.portlandoregon.gov/parks/50045"" Skateboard Program Information</a>  <b>Skatepark Stats</b> Constructed in 2008, the skatepark is 10,000 sq ft, featuring 8,000 sq ft of snake run and 2,000 sq ft of unique perimeter features including a wall ride, pump bumps, tranny trench, and vert tranny to slappy curb. The snake run includes a 9-ft-deep bowl with concrete coping and tractor seat; the midsection has three hips and a rolled lip design.","Swiss immigrant Ulrich Gabriel arrived in 1890 and eventually bought and farmed property south of what is now Vermont Street, and operated the Pine Creek Dairy. He raised corn, wheat, and potatos, but his main income came from his dairy herd.  In October 1950, the city purchased an 87-acre tract of land featuring two small creeks and wooded areas between Vermont and Canby Streets for $120,000. Part of the property, referred to as Gabriel Acres, gave the park its name. <p>",,Gabriel Park,,,,,45.473034,-122.719862
137,137,Gammans Park,N Buffalo Street and Burrage Avenue,1910,1.65598386,1,97217,N,Park hours: 5:00am-midnight,,"George G. Gammans was a lawyer in Portland in the early 1900s. When he died in 1910, his wife Laura gave the city six lots to be used for park purposes in order to memorialize him. <p>",,Gammans Park,,,,,45.575363,-122.694028
147,147,George Himes Park,SW Terwilliger Blvd and Slavin Road,1903,35.96957313,1,97201,SW,Park hours: 5:00am-midnight,,"George Himes was a pioneer Portlander. He was a printer and a historian. He was responsible for printing the early City Directories, which listed all Portland residents by address and occupation. Himes was also the curator and director of the Oregon Historical Society. <p>",,George Himes Park,,,,,45.47773,-122.683345
148,148,George Park,N Burr Avenue and Fessenden Street,1971,2.03029862,1,97203,N,Park hours: 5:00am-midnight  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area - 50 feet to play area  <i>Play Area</i> - Engineered mulch surface - Ramp into play area  <i>Play Equipment</i> - Transfer station  <i>Other Amenities</i> - Accessible picnic table,,"This park is named for Melvin Clark George, who was a state senator from the Multnomah district (1876-1880) and a U.S. Congressman (1881-1885). He was born in Noble County in Ohio in 1849, moved with his parents over the Old Oregon Trail in 1851, and settled on a homestead near Lebanon, Oregon. He attended Willamette University where he studied law, and started his practice in Portland in 1875. He served as a judge of the State circuit court (1897-1907) and was appointed to superintend the construction of the Burnside Bridge. He also served as a director of the Portland public schools for five years. In 1925, George compiled a travel brochure describing scenes along the Columbia River Highway, <i>The Columbia Highway Booklet</i>. He died in 1933 and was interred in Lone Fir Cemetery. <p>",,George Park,,,,,45.593657,-122.739184
149,149,Gilbert Heights Park,SE 130th Avenue and Boise Street,1993,3.80785898,1,97236,OE,"Park hours: 5:00am-midnight To reserve a sports field, call 503-823-2525.  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>",,,,Gilbert Heights Park,,,,,45.491862,-122.531352
150,150,Gilbert Primary Park,SE 134th Avenue and Foster Road,1993,4.39363213,1,97236,OE,Park hours: 5:00am-midnight,,,,Gilbert Primary Park,,,,,45.47825,-122.526978
152,152,Glenfair Park,NE 154th Avenue and Couch Court,1989,4.73577406,1,97230,OE,"Park hours: 5:00am-10:00pm  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>","To reserve a sports field, call David Douglas District at 503-261-8399.. <p>",,,Glenfair Park,,,,,45.523873,-122.505226
153,153,Glenhaven Park,NE 82nd Avenue and Siskiyou Street,1948,14.39494979,1,97213,NE,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.  <b>Accessibility Information</b>  <i>Parking</i> - Parking lot & street parking - 8 designated parking spaces (6 car/2 van) - Paved pathway to play area - 50 feet to play area  <i>Play Area</i> - Engineered mulch surface - Rubberized surface for merry-go-round - Ramp into play area  <i>Play Equipment</i> - Transfer station - Sensory play elements  <i>Other Amenities</i> - Accessible restroom","<a href=""https://www.portlandoregon.gov/parks/50045"" Skateboard Program Information</a>  <b>Skatepark Stats</b> The skatepark is 11,000 sq ft, featuring a 5,500-sq-ft street course and 5,500 sq ft of ""tranny"" (transition) area. The tranny area includes a 9'-deep ""peanut bowl"" with a 4'-deep shallow end with stairs and a separate rectangular bowl. The street area includes hubba ledges; stamped brick bank; banks, ledges and manual pads; handrails; stairs; two pyramid hips; a quarter pipe; and two ""dude chutes.""",,,Glenhaven Park,,,,,45.543583,-122.580991
154,154,Glenwood Park,SE 87th Avenue and Claybourne Street,1941,7.29987113,1,97266,SE,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area with slight slope - 200 feet to play area  <i>Play Area</i> - Engineered mulch surface - Rubberized surface for merry-go-round - Ramp into play area  <i>Play Equipment</i> - Transfer station - Sensory play elements  <i>Other Amenities</i> - Accessible restroom",,"In 2017-18, Glenwood Park’s restrooms were renovated with funding from the 2014 Parks Replacement Bond. Improvements included the addition of an ADA pathway and an ADA reserved parking space on SE 89th Avenue.",,Glenwood Park,,,,,45.473864,-122.572807
156,156,Waterfront Park,Naito Parkway between SW Harrison Street and NW Glisan Street,1927,30.9022614,1,97204,CC/NW,Park hours: 5:00am-midnight,"<br><b>Park Features</b> The Battleship Oregon Memorial was built in 1956 to honor an 1893 ship. It was nicknamed 'the Bulldog of the United States Navy' and fought in many famous battles before it was retired from service. On July 4, 1976, a time capsule was sealed in the base of the memorial. The time capsule is to be opened July 5, 2076.  <a href=""http://www.portlandoregon.gov/parks/article/522545"" target=""_blank"">Listen to a reading of the USS Oregon commemorative plaque</a> located in Waterfront Park.  The Founders Stone honors Portland's founders, William Pettygrove and Asa Lovejoy, who tossed a coin to decide whether their new town would be named Boston or Portland.  Salmon Street Springs was dedicated in 1988, although it wasn't named until a contest was held in 1989. Designed by Robert Perron Landscape Architects and Planners, the fountain is controlled by an underground computer that changes the pattern of the fountain's 185 water jets. The three cycles of the fountain are called misters, bollards, and wedding cake. At full capacity, the fountain recycles 4,924 gallons of water per minute through as many as 137 jets at once.  On August 3, 1990, the Japanese American Historical Plaza was dedicated to the memory of those who were deported to inland internment camps during World War II. In the memorial garden, artwork tells the story of the Japanese people in the Northwest - of immigration, elderly immigrants, native-born Japanese Americans, soldiers who fought in US military services during the war, and the business people who worked hard and had hope for the children of the future. A sculpture by Jim Gion, <i>Songs of Innocence, Songs of Experience</i>, serves as a gateway to the plaza.  A non-profit organization, the Oregon Nikkei Endowment, fueled the commemoration with help from PP&R, Metropolitan Arts Commission, Portland Development Commission, and the Portland-Sapporo Sister City Association. Designed by award-winning landscape architect Robert Murase, the plaza is 70 feet wide at its narrowest, 200 feet at its widest. It extends between NW Davis & Naito Parkway (formerly Front Ave) and the Willamette River esplanade for about 300 feet northward from the Burnside Bridge. One hundred ornamental cherry trees link the plaza northward to the <I>Friendship Circle</I>, a collaboration by sculptor Lee Kelly and composer Michael Stirling. From a wide concrete circle rise a pair of 20-foot stainless towers from which emanates music based upon traditional and contemporary Japanese instruments. The sculpture commemorates 30 years of the Sister City relationship between Sapporo, Japan and Portland.  In 1993, the Police Memorial, located at SW Jefferson near the Hawthorne Bridge, was dedicated to Portland police officers who had given their lives in the performance of their official duties.","The idea for this park came at the turn of the century when the 1903 Olmsted Report pointed out the need not only for parks within the city, but for a greenway scheme for the riverbanks in order to ensure their preservation for future generations. The 1912 Bennett Plan again showed a need for more parks and river greenways, but instead of reorienting itself to the river, the city's focus was pulled further inland. In the late 1920s, the seawall was built along the Willamette's west bank for the protection of downtown from the annual floods. The seawall not only cut off the water from the people, but the people from the water as well. The construction of Harbor Drive along the west bank in the 1940s continued the trend of isolating the public from the river.  With the opening of the Eastbank Freeway (Marquam Bridge, I-5), Harbor Drive became less important to the traffic flow of the city. Governor Tom McCall created the Harbor Drive Task Force in 1968 in order to study proposals for creating a public open space in its place. In 1974, Harbor Drive was torn up and construction of a waterfront park began. It was completed and dedicated in 1978, gaining instant popularity. In 1984, the park was renamed Governor Tom McCall Waterfront Park. <p>",,Waterfront Park,,,,,45.517068,-122.672218
166,166,Governors Park,SW 13th Avenue and Davenport Street,1894,5.73845117,1,97201,SW,Park hours: 5:00am-midnight,,"This park was dedicated while Sylvester Pennoyer was Governor of Oregon (1894-1901), giving the park its name. Pennoyer was the first person to make a gift of property to the City of Portland for solely park purposes.",,Governors Park,,,,,45.507137,-122.692981
167,167,Grant Park,NE 33rd Avenue and US Grant Place,1922,19.89936964,1,97212,NE,"Park hours: 5:00am-midnight   <a href=""https://www.portlandoregon.gov/parks/68931""  target=""_blank""><b>Grant Park Projects</b></a> (relocation of the dog off-leash area, and temporary closure notices.)  To reserve a sports field or picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps & Info</a> <br><b>About <i>Mark Cotton Field</i> at Grant Park</b> Mark Cotton was a highly respected math and physical education teacher, and a valued, highly regarded community member. He was the track and cross-country coach at Grant High School from 1965 to 1990. During that time period, the programs had numerous team and individual state championships.  The Mark Cotton Field at Portland Public Schools’ Grant High School was updated to a top-tier facility in 2013, thanks to an innovative public/private partnership. Portland Commissioners Amanda Fritz and Nick Fish led the effort to bring <a href=""http://about.nike.com/pages/community-impact"" NIKE</a>, the Friends of Grant Athletics, NFL football star Ndamukong Suh (Grant Class of 2005) and the <a href=""http://suhfoundation.org/grant-high-school-unveils-new-turf-field-track-after-12-years-of-work"" Ndamukong Suh Family Foundation</a> on board to make the turf athletic field at Grant High School possible. The all-weather field has an adjacent synthetic track, and opened in September, 2013.   <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area with slight slope - 50 feet to play area  <i>Play Area</i> - Engineered mulch surface - Ramp into play area  <i>Play Equipment</i> - Transfer station  <i>Other Amenities</i> - Accessible restroom - Accessible spray feature","Portland Parks & Recreation splash pads will be open daily from June 16, through August 31, between 11am and 7pm.","The park is named after Ulysses S. Grant who visited Portland three times, a rare thing for a president to do in the days before air travel - or even before standardized rail travel! Grant was first assigned to Fort Vancouver where he made friends with many of Portland's politicians.  Grant Park was the setting for many scenes in children's books by Beverly Cleary. In 1991, a group of teachers, librarians, and business people formed the Friends of Henry & Ramona, and began to raise funds for the <i>Beverly Cleary Sculpture Garden for Children</i>. Portland artist Lee Hunt created life-sized bronze statues of three of Cleary's best-loved characters - Ramona Quimby, Henry Huggins, and Henry's dog Ribsy. Scattered around the concrete slab are granite plaques engraved with the titles of the Cleary books that take place in Portland - and a map of the neighborhood showing where events in the books ""really happened."" The Sculpture Garden was dedicated on October 13, 1995. <p>",,Grant Park,,,,,45.539721,-122.628959
170,170,Hamilton Park,SW 45th Avenue and Hamilton Street,1955,10.48600884,1,97221,SW,"Park hours: 5:00am-midnight To reserve a sports field, call 503-823-2525.  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>",,,,Hamilton Park,,,,,45.491519,-122.721591
171,171,Hancock Park,NE 90th Avenue and Tillamook Street,1941,3.60022965,1,97220,NE,Park hours: 5:00am-midnight,,,,Hancock Park,,,,,45.536651,-122.571983
172,172,Harbor View Property,N Willamette Blvd and Carey Blvd,1970,2.84276092,0,97203,N,,,,,Harbor View Property,,,,,45.58014,-122.739044
173,173,Harney Park,SE 67th Avenue and Harney Street,1979,6.50127548,1,97206,SE,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.",,"General William S. Harney was the commander of the U.S. Army's Department of Oregon from 1858-59. Harney was instrumental in making San Juan Island, off Washington's coast, part of the United States rather than part of Canada.  The park that bears Harney's name was originally a neighborhood eyesore; it was the location of illegal dumping and was a magnet for 4-wheelers out for a spin. When the neighbors decided that something needed to be done, they applied for a Housing and Community Development grant from Multnomah County. The neighbors received a $50,000 grant and the assurance that the Marines would volunteer to grade the park. Due to the passage of the 1989 Park Improvement Levy, PP&R matched the Multnomah County funds. The community was able to drum up enough extra money to complete the project by gaining the support of the Portland Trail Blazers, the Rose Festival Association, and Precision Castparts, one of the major employers of the neighborhood's working population.  The renovations to Harney Park became a reality in 1991. About the collaborative effort that went into the project, Nick Sauvie of the Southeast Neighborhood Uplift Program said, ""People need to work together. The government can't do it alone . . . here's an instance where Portland residents made a $50,000 investment and they got a park worth $200,000. For people who are really turned off by government's ineffectiveness, that's a very tangible return.""",,Harney Park,,,,,45.462537,-122.593295
175,175,Harrison Park,SE 84th Avenue and Harrison Street,1946,4.63379391,1,97216,SE,"Park hours: 5:00am-midnight To reserve a sports field, call 503-823-2525.  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area - 200 feet to play area  <i>Play Area</i> - Engineered mulch surface - Ramp into play area  <i>Play Equipment</i> - Transfer station",,,,Harrison Park,,,,,45.50839,-122.576405
178,178,Healy Heights Park,SW Patrick Place and Council Crest Drive,1951,1.18481341,1,97201,SW,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.",,,,Healy Heights Park,,,,,45.492817,-122.698526
179,179,Heritage Tree Park,SW Corbett Avenue and Lane Street,1997,0.09182782,1,97201,CC/NW,,,"In 1988, when the proposed development of rowhouses on this site meant the cutting down of the historic Corbett Oak, hundreds of community members came to the rescue! Through political and public pressure, the tree was spared. Nearly 10 years later, another development scheme threatened the venerable oak, and the Friends of the Oak rallied once again to save the tree. They raised funds to buy the tree and its lot, and worked with the Parks Bureau to add it to the City's public park inventory as Heritage Tree Park. <p>",,Heritage Tree Park,,,,,45.49566,-122.676343
180,180,Heron Lakes Golf Course,3500 N Victory Blvd,1950,340.77409266,1,97217,N,"<a href=""http://www.portlandpublicgolf.com/tee-times.htm"" target=""_blank"">Reserve</a> a tee time online or call 503-289-1818.","For hours, fees, and other info, go to <a href=""http://www.heronlakesgolf.com"" target=""_blank"">www.heronlakesgolf.com</a>","Nestled between the Willamette River and the Columbia Slough, this property is a natural flood plain. For centuries the seasonal rise and fall of the water made it a rich plant and animal habitat and an important Indian gathering place. In the early 1900s levees were constructed for drainage which allowed for industrial development in the area.   The present 340-acre site was once part of Vanport City, which at the time, was the second-largest city in Oregon, and remains the largest government housing project in US history. The construction of Vanport began in 1943 to house nearly 40,000 workers who came to work for the Oregon Shipbuilding Company during the height of wartime production. Following World War II, the population was reduced by half due to many wartime workers leaving, although the newly built Vanport College (present-day Portland State University) attracted a large number of veterans and their families.   On May 30, 1948, excessively high water levels caused a 200' break in the dike that held back the Columbia River, resulting in massive flooding that killed 15 residents and virtually destroyed the entire city.  It would be almost another two decades before initial construction began on the first of the two golf courses at Heron Lakes. Designed by renowned golf architects Robert Trent Jones, Sr. and his son Robert Trent Jones II, the first 18 holes (present-day Greenback) and clubhouse were opened in 1971, under the name West Delta Park Golf Course. Along with the name change to Heron Lakes, another 9 holes were added during the 1980s giving the facility three 9-hole courses called the Red, White, and Blue. An additional fourth set of 9 holes were added in 1992 to form the present Great Blue Course. In 2008 the City of Portland selected KemperSports to manage the property and assist in the process of developing a new clubhouse facility. <p>",5032891818,Heron Lakes Golf Course,,,,,45.603295,-122.704074
183,183,Hillsdale Park,SW 27th Avenue and Hillsdale Highway,1952,5.17257219,1,97201,SW,Park hours: 5:00am-midnight,,,,Hillsdale Park,,,,,45.481433,-122.704045
184,184,Hillside Community Center,653 NW Culpepper Terrace,1974,0,1,97210,CC/NW,,"<a href=""http://www.portlandoregon.gov/parks/60396"">Classes, hours, fees, rentals & more!</a>","Designed in the mid-1940s by noted local architect Pietro Belluschi, the community center originated as the Catlin Gabel School. After the school moved, the Portland Art Association purchased the land and buildings in 1968 for use as an artists’ cooperative. In 1972, finding the property too costly to maintain, the Art Association decided to sell, and word spread throughout the community that the most likely buyer was a condominium developer. Since many of the homes in the area are situated on steep lots with no backyards, residents felt that the site would be better used as a park and community center. The problem, of course, was money.  A citizen’s organization, Citizens for Hillside Community & Recreation Center, Inc. (CHCRC), was formed for the purpose of preserving the property for a public park and community center. The CHCRC entered into an agreement with the Oregon Parks Foundation to help with the property acquisition and negotiated with the Art Association for a one-year option to purchase the land and buildings for $106,500.  In early 1973, the option was secured with a down payment of money raised by the neighborhood. After an exhaustive neighborhood fundraising effort generated additional monies, including contributions from private foundations and City Council, the community was still $25,000 short. To make up the difference, twelve families, sometimes referred to as the ‘Trembling Twelve,’ took out second mortgages on their homes to guarantee a loan of $25,000 from the Bank of California that finalized the purchase of the property. Over the next several years, the community continued to hold fundraising events to help the families pay off the second mortgages.  In spring of 1974, the CHCRC, through the Oregon Parks Foundation, transferred the property over to the City of Portland, which accepted it as a public park and agreed to maintain the property and staff a community center. To create more open space, PP&R razed three of the four buildings on the property, keeping the gymnasium. Tennis courts, a soccer field, and a children’s play area were constructed to provide outdoor play spaces, and the gymnasium was remodeled with care taken to preserve the building’s exterior beauty.  The center was awarded a $75,000 grant in 2002 and a $75,000 grant in 2003 from the Northwest Neighborhoods Parks and Recreation Fund (I-405 Fund) of The Oregon Community Foundation. The grants were to be used to design and build a 580 sq ft multi-purpose room adjacent to the main building. However, in October 2003, the center experienced a fire that destroyed the kitchen and caused severe smoke damage throughout the rest of the building. Construction of the multi-purpose room was delayed until 2004, to coordinate that project with the repairs and clean-up needed on the main building. <p>",5038233181,Hillside Community Center,,https://www.CMCpdxcom/HillsideCommunityCenter/,,,45.527784,-122.70971
185,185,Hillside Park,653 NW Culpepper Terrace,1974,3.41395834,1,97210,CC/NW,"Park hours: 5:00am-midnight. Parking lot closed at 8:30pm, Mon-Thu, and at 6:00pm, Fri for the weekend. Gate is reopened Mon morning.  To reserve a sports field, call 503-823-2525. <p><a href=""/parks/article/694266"">Learn more about the Hillside Park Sports Field Renovation project.</a></p>  <b>Accessibility Information</b>  <i>Parking</i> - Parking lot & street parking - 1 designated parking space - Paved pathway to play area - 100 feet to play area  <i>Play Area</i> - Engineered mulch surface - Ramp into play area - Fenced  <i>Play Equipment</i> - Sensory play elements - Ramp onto play structure  <i>Other Amenities</i> - Accessible restroom inside community center",,,5038233181,Hillside Park,,,,,45.527527,-122.709412
186,186,Holladay Park,NE 11th Avenue and Holladay Street,1870,4.54037326,1,97232,CC/NW,Park hours: 5:00am-midnight,"Go to <a href=""https://www.portlandoregon.gov/parks/65397"">Holladay Park</a>","This park is named after Benjamin Holladay (1819-1887), known to many as ""a sharpster, a con man, and a rake."" He stirred things up wherever he went and was a bit of a dandy, dressing like a riverboat gambler. He was said to be ""wholly destitute of fixed principles of honesty, morality, or common decency."" In 1868 Holladay sold his stage coach business in California to Wells Fargo and moved to Portland to get involved in the railroad business. His goal was to build a rail line to California along the east side of the Willamette River. In order to do so, he spent a total of $55,000 in bribe money to help secure his company's endorsement. He also built two large hotels in the area where the park bearing his name is now located. Known as an extravagant spender, Holladay owned numerous mansions on both coasts and had over extended himself financially. He lost his railroad in 1876, and died in Portland in 1887.  Commissioned by the Lloyd Corporation and Pacific Power & Light in 1964, a concrete fountain featuring music and lights was installed in the park. Designed by Jack Stuhl, assisted by Ted Widing and Phillips Electrical, the musical fountain was favorite gathering place for park visitors. It was replaced in 2000, in conjunction with a major renovation of the park, by a spouting fountain designed by Tim Clemen and Murase Associates.  Three cast-bronze sculptures by artist Tad Savinar were added to the park as a percent-for-art project in 2000. Entitled <i>Constellation</i>, the project illustrates the connection between the personal front yard garden and the civic park garden through three distinct elements: a vase of cut flowers, an abstract molecule containing elements of a good neighborhood, and the figure of a home gardener, shears in hand. The objects in the molecule were selected by the Sullivan Gulch Neighborhood Association and the gardener was modeled after Carolyn Marks, a longtime neighborhood activist.",,Holladay Park,,,,,45.530752,-122.653614
189,189,Hoyt Arboretum,4000 SW Fairview Blvd,1922,153.01152186,1,97221,CC/NW,"Park hours: 5:00am-9:30pm. The parking lot and access roads are closed at 9:30pm.  To reserve a picnic area, call 503-823-2525.  <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps and Info</a>  <strong>Special Note on Access</strong> Parking for cars is very limited in Washington Park, especially during warm, sunny weekends. About 40% of all visitors skip the parking and arrive by rideshare, walking, biking or using TriMet transit service.&nbsp;Once you&rsquo;re in the park, use the&nbsp;<a href=""http://explorewashingtonpark.org/getting-here#shuttle""><strong>free seasonal shuttle</strong></a>&nbsp;to explore the park.","<a href=""http://www.hoytarboretum.org"" target=""_blank"">hoytarboretum.org</a>","During National Forestry Week in 1928, the Forestry Committee of the Chamber of Commerce convinced the City Council to establish an arboretum in Washington Park to preserve evergreens for educational and recreational purposes. Multnomah County gave the Parks Bureau perpetual use of approximately 145 acres of land north of Washington Park for this purpose. It was named Hoyt Arboretum in honor of Ralph Warren Hoyt, the county commissioner who championed the formation of the arboretum.  Most of the collection is arranged in family groups: all the oaks are in one area and all of the redwoods are in another. Grouping by scientific classification, or taxonomic arrangement, was in vogue when the Arboretum was first laid out. In the 1930s, planners decided to use Fairview Boulevard to divide the conifers from the deciduous trees: conifers were planted on the west side and deciduous trees on the east.  Hoyt Arboretum’s plant collection contains 6,000 individual trees and shrubs, representing 2,000 different species from around the world. A publically available database allows the user to search for plants by family genus, species, common name and location in the arboretum. <a href=""http://hoytarboretum.gardenexplorer.org/""  target=""_blank"">Plant Database</a> <p>",5038658733,Hoyt Arboretum in Washington Park,http://washingtonparkpdx.org/parking/,http://www.CMCpdxcom/HoytArboretumFriends,,,45.515982,-122.716911
191,191,Interstate Firehouse Cultural Center,5340 N Interstate Avenue,1966,0,1,97217,N,,,"Built in 1910, the building is an historic firehouse that was in use 1911-1959. <p>",5038232525,Interstate Firehouse Cultural Center,,,,,45.561755,-122.681942
194,194,Keller Fountain Park,SW 3rd Avenue and Clay Street,1968,0.91845932,1,97204,CC/NW,"Park hours: 5:00am-9:00pm  <a href=""https://www.portlandoregon.gov/parks/article/688089""  target=""_blank"">Click here for information on the Portland Open Space Restoration Project</a>",,"Even before remodeling of the Civic Auditorium began in the early 1960s, plans to create an open space across the street were being proposed. The proposal submitted by Lawrence Halprin, the well-known San Franciscan landscape architect who had designed the Lovejoy Fountain a few years earlier, was unanimously approved in 1968. Designed by Angela Danadjieva, the Forecourt Fountain was completed in 1970. 13,000 gallons of water per minute cascade through its terraces and platforms, suggesting the Northwest's abundant waterfalls. The concrete fountain became an instant city landmark and an internationally acclaimed open space.  In 1978, the fountain was renamed after Ira C. Keller (1899-1978), civic leader and first chairman of the Portland Development Commission (1958-72). Keller pushed through the renewal plan for the South Auditorium area of downtown which included the construction of the Forecourt Fountain. It has been said that ""it was Keller's enormous energy that made urban renewal work in Portland."" <p>",,Keller Fountain Park,,,,,45.512722,-122.679175
195,195,Irving Park,NE 7th Avenue and Fremont Street,1920,16.08345836,1,97212,NE,"Park hours: 5:00am-midnight  This park has a splash pad - <a href=""https://www.portlandoregon.gov/parks/article/578662""  target=""_blank"">click here for hours and more information</a>.  To reserve a sports field or picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps & Info</a> <br /><strong><a href=""http://www.tinyurl.com/irvingparktrees""><br />Take a virtual tour of the trees at Irving Park</a></strong>  Tennis court lights are turned off at 9:30 PM, October 1-May 31, and at 10:00 PM, June 1-September 30.",,"The land in the Irvington neighborhood was originally owned by Captain William Irving, who was famous in early Pacific Northwest maritime history. Part of the land occupied by Irving Park was the site of the Irvington Racetrack, one of four defunct racetracks now sporting Portland parks.",,Irving Park,,,,,45.547078,-122.656749
197,197,Ivon Community Garden,3817 SE Ivon Street,1978,0.19131046,1,97215,SE,,,,5038231612,Ivon Community Garden,,PDXcommunitygardens,,,45.504288,-122.623796
200,200,Japanese Garden,SW Kingston Drive,1963,0,1,97201,CC/NW," <strong>Special Note on Access</strong> Parking for cars is very limited in Washington Park, especially during warm, sunny weekends. About 40% of all visitors skip the parking and arrive by rideshare, walking, biking or using TriMet transit service.&nbsp;Once you&rsquo;re in the park, use the&nbsp;<a href=""http://explorewashingtonpark.org/getting-here#shuttle""><strong>free seasonal shuttle</strong></a>&nbsp;to explore the park.","Please visit  <a href=""http://www.japanesegarden.com"" target=""_blank"">japanesegarden.com</a>.",,5032231321,Japanese Garden in Washington Park,http://washingtonparkpdx.org/parking/,https://www.CMCpdxcom/PDXJapaneseGarden,,,45.518873,-122.708236
201,201,Jensen Natural Area,SW 18th Place north of Broadleaf Drive,1996,2.27899503,0,97219,SW,,,,,Jensen Natural Area,,,,,45.454745,-122.69667
202,202,John Luby Park,NE 128th Avenue and Brazee Street,1985,10.41684547,1,97230,OE,Park hours: 5:00am-midnight  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area - 100 feet to play area  <i>Play Area</i> - Engineered mulch surface - Rubberized surface for merry-go-round (no access path) - Ramp into play area  <i>Play Equipment</i> - Transfer station - Sensory play elements  <i>Other Amenities</i> - Accessible picnic table,,,,John Luby Park,,,,,45.539891,-122.531096
203,203,Johns Community Garden,N Edison Street and John Avenue,1974,0.9855965,1,97203,N,,,,5038231612,Johns Community Garden,,PDXcommunitygardens,,,45.586125,-122.755564
