lvl2,lvl3code,lvl3cate
Fire & Rescue Administration,FIR,FIR-1.11 - Unsafe Buildings Alert Program
Fire & Rescue Administration,FIR,FIR-1.12 - Online Fire System Reporting Program - OFSR
Fire & Rescue Administration,FIR,FIR-1.13 - Fire & Life Safety Emergency Plan Permit Process
Fire & Rescue Administration,FIR,FIR-1.14 - Issuance of Public/Special Event Citations
"Fire Protection, General ",FIR,"FIR-2.01 - Development Processes, Standards & Guidelines"
"Fire Protection, General ",FIR,FIR-2.02 - Requirement for Emergency Lighting
"Fire Protection, General ",FIR,FIR-2.04 - Use of NFPA Standards Not Adopted by Code
"Fire Protection, General ",FIR,FIR-2.05 - Rubbish Containers
"Fire Protection, General ",FIR,FIR-2.08 - Fire Escape Issues
"Fire Protection, General ",FIR,FIR-2.11 - Fire Door Testing and Disabled Fire Doors
"Fire Protection, General ",FIR,FIR-2.13 - Storage and Laundry Rooms - Separation from Living Spaces
"Fire Protection, General ",FIR,FIR-2.14 - Use of Explosives Within the City of Portland
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.01 - Approved Central Stations
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.02 - Fire Alarm Test Intervals and Procedures
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.03 - Fire Alarm System Monitoring
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.06 - Repetitive Commercial Alarm Responses
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.07 - Smoke Detector Installation in Rental Units
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.08 - Fire Alarm Initiating Devices on Security Systems
"Fire Regulations, Alarm Systems & Devices ",FIR,FIR-6.10 - Abating Smoke Alarm Violations
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.01 - Removal of Hose Bundles
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,"FIR-8.02 - Inspection, Testing and Maintenance of Water-Based Systems"
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,"FIR-8.03 - Fire Extinguisher Monthly ""Self-Inspection"" Maintenance Acceptance"
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.04 - Fire Extinguishers For Multi-Family Dwellings
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.05 - Sprinkler Requirement in Existing A2 Occupancies
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.06 - Power Supply Requirements for Electric Motor-Driven Fire Pumps
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.08 - Cleaning of Commercial Cooking Hood and Ventilation Systems
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR,FIR-8.09 - Sprinkler Requirements for Nightclubs in Existing Buildings
"Fire Regulations, Flammable & Combustible Liquids",FIR,FIR-7.01 - Abandoned Flammable Liquid Storage Tanks
"Fire Regulations, Flammable & Combustible Liquids",FIR,FIR-7.05 - Placarding of Hazardous Materials Facilities
"Fire Regulations, Miscellaneous Appliances & Devices ",FIR,FIR-4.01 - Enclosed Radiant Electric Boilers
"Fire Regulations, Miscellaneous Directives ",FIR,FIR-11.02 - Use of Lock Boxes
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.02 - Full Text of Rule
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.02 - Holiday Decor and Fire Safety
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.03 - Haunted Houses and Similar Temporary Installations
"Fire Regulations, Seasonal & Special Events ",FIR,"FIR-3.04 - Street Fairs, Festivals and Special Events"
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.05 - Fireworks - Retail Sales
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.06 - Fireworks - Public Display
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.07 - Fire Performance Art
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.08 - Outdoor Burning & Burning Guidelines
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.10 - Small Scale Special Effects
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.11 - Public Assembly Event Permits
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.12 - Temporary Public Assembly Permits for Non-Assembly Type Occupancies
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.13 - Sweat Lodges (Native American Religious Rite)
"Fire Regulations, Seasonal & Special Events ",FIR,FIR-3.14 - Watercraft Display Requests
"Fire Regulations, Specific Occupancies ",FIR,FIR-5.02 - Festival (Open) Seating
"Fire Regulations, Specific Occupancies ",FIR,FIR-5.03 - At-Risk Multi-Family Dwelling Plan
"Fire Regulations, Specific Occupancies ",FIR,FIR-5.04 - Moorage Standpipe Test
"Fire Regulations, Specific Occupancies ",FIR,FIR-5.05 - Bridge Standpipe Test
Food,ENN,ENN-1.01 - Food Policy Council
Funds & Accounts ,FIN,FIN-4.01 - Community and School Traffic Safety Account
Funds & Accounts ,FIN,FIN-4.02 - Parks Local Option Levy Fund
Funds & Accounts ,FIN,FIN-4.03 - Fund Management (June 2005)
Funds & Accounts ,FIN,FIN-4.04 - Fund Management (June 2006)
Funds & Accounts ,FIN,FIN-4.05 - Sewer System Safety Net Fund & Sewer Revolving Loan Fund Closure
Funds & Accounts ,FIN,FIN-4.06 - Public Safety Fund Closure and Renaming of Federal Grants Fund
Funds & Accounts ,FIN,FIN-4.07 - FY 2008-09 Grants Fund Major Supplemental Budget
Funds & Accounts ,FIN,FIN-4.08 - FY 2008-09 Grant-Related Budget Amendments Minor Supplemental Budget
Funds & Accounts ,FIN,"FIN-4.09 - Close the Water Growth Impact Trust Fund, the Portland Police Association Health Insurance Fund and the Parking Facilities Debt Redemption Fund, and create the Tax Increment Reimbursement Fund"
Funds & Accounts ,FIN,"FIN-4.10 - Close the Business License Surcharge Fund, and Approve Renaming the Housing and Community Development Fund to the Community Development Block Grant Fund, and Approve Creating the Headwaters Apartment Complex Fund"
Funds & Accounts ,FIN,FIN-4.11 - Close the Campaign Finance Fund
Funds & Accounts ,FIN,"FIN-4.12 - Approve renaming the Parks Capital Construction & Maintenance Fund, the Portland Parks Memorial Trust Fund, and the Local Improvement District Construction Fund"
Funds & Accounts ,FIN,FIN-4.13 - Create the Arts Education and Access Fund
Funds & Accounts ,FIN,FIN-4.14 - Adopt Budget Ajustments and Establish Appropriation Authority for the Arts Education and Access Fund and the Private For-Hire Transportation Program Reforms
Funds & Accounts ,FIN,FIN-4.15 - Approve Creation of Debt Service Funds and Closure of Cable Fund and Private for Hire Transportation Safety Fund
Funds & Accounts ,FIN,FIN-4.16 - Authorize Creation of Community Solar Special Revenue Fund
Funds & Accounts ,FIN,FIN-4.17 - Approve Renaming the Tax Increment Reimbursement Fund to the Tax Increment Financing Reimbursement Fund
Funds & Accounts ,FIN,FIN-4.18 - Approve a Fund Statement of Purpose for Each City Fund and Rename Spectator Facilities Operating Fund
Funds & Accounts ,FIN,FIN-4.19 - Update Fund Statements of Purpose for Various City Funds
Funds & Accounts ,FIN,FIN-4.20 - Update Fund Statements of Purpose for Various City Funds
Funds & Accounts ,FIN,"FIN-4.21 - Approve creating the Portland Police Association Health Insurance Fund and closing the Headwaters Apartment Complex Fund, the Education URA Debt Service Fund, and the Willamette Industrial URA Debt Service Fund"
Funds & Accounts ,FIN,"FIN-4.22 - Create, Rename, and Update the Fund Statements of Purpose for Various Funds"
Global Warming,ENN,ENN-5.01 - Local Action Plan on Global Warming
Global Warming,ENN,ENN-5.02 - Implementation of Policies and Programs to Reduce Local Emissions of Greenhouse Gases
Global Warming,ENN,ENN-5.03 - City of Portland and Multnomah County 2015 Climate Action Plan
Global Warming,ENN,ENN-5.04 - Implementation by City Bureaus of Policies and Programs to Keep Portland on a Path to Reduce Local Carbon Emissions 80 Percent from 1990 Levels by 2050
Global Warming,ENN,ENN-5.05 - Commerical Building Energy Performance Reporting
Global Warming,ENN,ENN-5.06 - Portland 2017 Electric Vehicle Strategy
Global Warming,ENN,ENN-5.07 - Residential Energy Performance Rating and Disclosure
Global Warming,ENN,ENN-5.08 - Establish Goal to Meet 100% of Community-Wide Energy Needs With Renewable Energy by 2050
Global Warming,ENN,ENN-5.09 - Green Building Certifications List for Low-Carbon Buildings
Global Warming,ENN,ENN-5.10 - Energy Efficient Building Requirements for Planned Development Bonuses
Government Relations,ADM,ADM-3.01 - Coordination of Government Relations
Green Building,ENB,ENB-9.01 - Green Building Policy
Green Building,ENB,ENB-9.02 - Green Building Policy Update (superseded)
Hearings Officer ,ADM,ADM-9.01 - Code Hearings Officer Rules
Hearings Officer ,ADM,ADM-9.02 - Land Use Hearings Procedures
Hearings Officer ,ADM,ADM-9.03 - Tow Appeal Hearing Rules and Regulations Before the Hearings Officer of the City of Portland
Hearings Officer ,ADM,ADM-9.05 - Appeals to the City Code Hearings Officer
Hearings Officer ,ARA,ARA-9.06 - Filing Fee for Appeal Hearings
Historic Preservation,ART,ART-3.01 - Prioritize Location Of City Offices And Operations In Historic Buildings
Historic Preservation,ART,ART- 3.02 - Prioritize Reuse of Artifacts from the Eric Ladd and Other Cast-Iron Artifact Collections in the Skidmore/Old Town Historic District
Homelessness,HOU,HOU-2.01 - Home Again: A 10-year plan to End Homelessness in Portland and Multnomah County
Housing Development & Production,HOU,HOU-1.01 - Affordable Housing Production Goal - City of Portland
Housing Development & Production,HOU,HOU-1.02 - Affordable Housing Production Goal - Urban Portion of Unincorporated Multnomah County
Housing Development & Production,HOU,"HOU-1.03 - Authorize Action Plan for FY 2015-16 - Community Development Block Grant, HOME Investment Partnership, Emergency Solutions Grant, and HUD Program"
Housing Development & Production,HOU,HOU-1.04 - Intergovernmental Agreement for Production of Housing-Related Plans and Performance Reports for HUD
Housing Development & Production,HOU,HOU-1.05 - Designation of Block U for Resource Access Center and Affordable Housing Development
Housing Development & Production,HOU,HOU-1.06 - Affordable Housing Tax Increment Financing Set Aside Policy
Housing Development & Production,HOU,HOU-1.07 - Portland Housing Bureau Affordable Housing Green Building Policy
Housing Development & Production,HOU,"HOU-1.08 - Authorize Action Plan for FY 2018-19 - Community Development Block Grant, HOME Investment Partnership Grant, Emergency Solutions Grant, and Housing Opportunities for Persons with AIDS Grant"
Housing Development & Production,HOU,"HOU-1.09 - Creation of 2,000 Additional Supportive Housing Units - 2028 Goal"
Housing Development & Production,HOU,HOU-1.10 - Risk Analysis and Compliance Policies and Guidelines
Human Resources Administration,HRAR,HRAR-1.01 - Duties & Authority of the Director of Human Resources - Mission & Vision of the Bureau of Human Resources
Human Resources Administration,HRAR,HRAR-1.02 - Administrative Rule Development and Issuance
Human Resources Administration,HRAR,"HRAR-1.03 - Public Records Information, Access and Retention"
Human Resources Administration,HRAR,HRAR-1.04 - Personnel Records
Human Resources Administration,HRAR,HRAR-1.05 - Posting Requirements
Human Resources Administration,HRAR,HRAR-1.06 - Employee Medical Files
Human Resources Administration,HRAR,HRAR-1.07 - Time Review and Approval
Independent Police Review,PSF,PSF-5.01 - Independent Police Review - Complaint Intake and Processing
Independent Police Review,PSF,PSF-5.02 - Independent Police Review - Administrative Investigations
Independent Police Review,PSF,PSF-5.03 - Citizen Review Committee - Independent Police Review Division - Appeals Procedures
Independent Police Review,PSF,PSF-5.04 - Citizen Review Committee - Independent Police Review Division - Communication Guidelines
Independent Police Review,PSF,PSF-5.05 - Independent Police Review - Appeal Requests
Independent Police Review,PSF,PSF-5.06 - Citizen Review Committee (CRC) - Independent Police Review Division (IPR) - Process for Appointment and Reappointment to CRC
Independent Police Review,PSF,PSF-5.07 - Citizen Review Committee - Public Comment Protocol
Independent Police Review,PSF,PSF-5.08 - Independent Police Review - Supervisory Investigations
Independent Police Review,PSF,PSF-5.09 - Independent Police Review - Mediation
Independent Police Review,PSF,PSF-5.10 - Independent Police Review - Mediation Program Guidelines
Independent Police Review,PSF,PSF-5.11 - Citizen Review Committee - Independent Police Review Case File Review Meeting Protocol
Independent Police Review,PSF,PSF-5.12 - Citizen Review Committee (CRC) - Workgroup Protocol
Independent Police Review,PSF,PSF-5.13 - Citizen Review Committee (CRC) - IPR - Supplemental Appeal Hearing Protocol
Independent Police Review,PSF,PSF-5.14 - Citizen Review Committee (CRC) - Protocol for Request for Reconsideration of CRC Decision
Independent Police Review,PSF,PSF-5.15 - Independent Police Review - Untimely Appeal Protocol
Independent Police Review,PSF,PSF-5.16 - City Council Appeals Protocol for Independent Police Review Division's Citizen Review Committee Appeals
Independent Police Review,PSF,PSF-5.17 - Citizen Review Committee - Independent Police Review Division - Guidance for Working Together Effectively
Independent Police Review,PSF,PSF-5.18 - Citizen Review Committee - City Auditor's Independent Police Review Division - Policy Review Protocol
Independent Police Review,PSF,PSF-5.20 - Internal Affairs Guidelines For Screening Referrals From IPR
Independent Police Review,PSF,PSF-5.21 - Independent Police Review - Citizen Review Committee - Appeal Process Advisor
Independent Police Review,PSF,PSF-5.22 - Citizen Review Committee - Election of Officers
Independent Police Review,PSF,PSF-5.23 - Citizen Review Committee - Independent Police Review Division - CRC Member Duties and Responsibilities
Independent Police Review,PSF,PSF-5.24 - Independent Police Review - Review of Tort Claims and Civil Complaints Alleging Tortious Conduct by Portland Police Officers
Independent Police Review,PSF,PSF-5.25 - Independent Police Review - Monitor and Review of Police Bureau Investigations
Labor Relations,BHR,BHR-17.01 - Labor Agreement - District Council of Trade Unions - 2004-2006
Labor Relations,BHR,BHR-17.02 - Labor Agreement - Portland Police Association - 2002-2006
Labor Relations,BHR,BHR-17.03 - Labor Agreement -  Portland Fire Fighters Association  - Vacation Banking
Labor Relations,BHR,BHR-17.04 - Labor Agreement - Remittance Technician Terms of Employment
Labor Relations,BHR,BHR-17.05 - Labor Agreement - District Council of Trade Unions - Water Security Specialist
Labor Relations,BHR,BHR-17.06 - Labor Agreement - LIUNA Local 483 - Settlement Agreement
Labor Relations,BHR,BHR-17.07 - Labor Agreement - District Council of Trade Unions - Parking Code Enforcement Officer
Labor Relations,BHR,BHR-17.08 - Labor Agreement - District Council Of Trade Unions - Inspector And Plans Examiner
Labor Relations,BHR,BHR-17.09 - Labor Agreement - District Council Of Trade Unions - Water Operations Mechanic
Labor Relations,BHR,BHR-17.10 - Labor Agreement - District Council Of Trade Unions - Storekeeper/Acquisitions Specialist
Labor Relations,BHR,BHR-17.11 - Labor Agreement - District Council Of Trade Unions - Storekeeper/Acquisitions Specialist III
Labor Relations,BHR,BHR-17.12 - Labor Agreement - City of Portland Professional Employees Association - Information Technology Classifications
Labor Relations,BHR,BHR-17.13 - Labor Agreement - City of Portland Professional Employees Association - 2007-2010
Labor Relations,BHR,BHR-17.14 - Labor Agreement - LIUNA Local 483 - Recreation - 2007-2010
Labor Relations,BHR,BHR-17.15 - Labor Agreement - District Council of Trade Unions - Wild Land Fires
Labor Relations,BHR,BHR-17.16 - Labor Agreement - Portland Fire Fighters Association
Labor Relations,BHR,BHR-17.17 - Labor Agreement - Portland Police Association - 2006-2010
Labor Relations,BHR,BHR-17.18 - Labor Agreement - Portland Police Commanding Officers Association - 2006-2010
Labor Relations,BHR,BHR-17.19 - Labor Agreement - District Council of Trade Unions - 2006-2010
Labor Relations,BHR,BHR-17.20 - Labor Agreement - AFSCME Local 189-2 - 2006-2010
Labor Relations,BHR,BHR-17.21 - Labor Agreement - Memorandum of Agreement with Portland Police Commanding Officers Association
Labor Relations,BHR,BHR-17.22 - Labor Agreement - City of Portland Professional Employees Association - Certain Represented Employees
Labor Relations,BHR,BHR-17.23 - Labor Agreement - Letter of Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications
Labor Relations,BHR,BHR-17.24 - Labor Agreement - Letter of Understanding - AFSCME Local 189-2 and Bureau of Emergency Communications
Labor Relations,BHR,BHR-17.25 - Labor Agreement - LIUNA Local 483 - Seasonal Maintenance Workers - 2005-2007
Labor Relations,BHR,BHR-17.26 - Labor Agreement - District Council of Trade Unions - Certain Represented Employees in Water Bureau
Labor Relations,BHR,BHR-17.27 - Labor Agreement - LIUNA Local 483 - Seasonal Maintenance Workers - 2007-2011
Labor Relations,BHR,BHR-17.28 - Labor Agreement - LIUNA Local 483 - Parking Meter Technician Pay Rate
Labor Relations,BHR,BHR-17.29 - Labor Agreement - Portland Fire Fighters Association Local 43 - 2007-2010
Labor Relations,BHR,BHR-17.30 - Labor Agreement - City of Portland Professional Employees Association - Environmental Policy Analyst
Labor Relations,BHR,BHR-17.31 - Labor Agreement - Laborers' Local 483 - Recreation - 2010-2013
Labor Relations,BHR,BHR-17.32 - Labor Agreement - Portland Fire Fighter's Association - 2010-2012
Labor Relations,BHR,BHR-17.33 - Labor Agreement - City of Portland Professional Employees Association - 2010-2013
Labor Relations,BHR,BHR-17.34 - Labor Agreement - District Council of Trade Unions - 2010-2013
Labor Relations,BHR,BHR-17.35 - Labor Agreement - Laborers' Local 483 - Recreation - Letter of Agreement
Labor Relations,BHR,BHR-17.36 - Labor Agreement - Portland Police Association - 2010-2013
Labor Relations,BHR,BHR-17.37 - Labor Agreement - Portland Police Commanding Officers Association - 2010-2013
Labor Relations,BHR,BHR-17.38 - Labor Agreement - Laborers' Local 483 - Wastewater Operators - Letter of Agreement
Labor Relations,BHR,BHR-17.39 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2011-2014
Labor Relations,BHR,BHR-17.40 - Labor Agreement - Portland Police Association - Amendments and Grievance Settlement
Labor Relations,BHR,BHR-17.41 - Labor Agreement - City of Portland Professional Employees Association - Certain Represented Employees
Labor Relations,BHR,BHR-17.42 - Labor Agreement - AFSCME Local 189-H - 2012-2015
Labor Relations,BHR,BHR-17.43 - Labor Agreement - District Council of Trade Unions - Represented Employees and Commerical Driver's License
Labor Relations,BHR,BHR-17.44 - Labor Agreement - AFSCME Local 189 - Represented Employees in Surveyor Classification Series
Labor Relations,BHR,BHR-17.45 - Labor Agreement - AFSCME Local 189 - Letter of Agreement for Carolyne Haycraft
Labor Relations,BHR,BHR-17.46 - Labor Agreement - Portland Police Association and Portland Police Bureau - Settlement Agreement and Memorandum of Understanding
Labor Relations,BHR,BHR-17.47 - Labor Agreement - AFSCME Local 189 and Portland Bureau of Transportation - Scheduling Parking Enforcement Officers on Day After Thanksgiving - Letter of Agreement
Labor Relations,BHR,BHR-17.48 - Labor Agreement - AFSCME Local 189 and Portland Bureau of Transportation - Holiday Pay for Parking Code Enforcement Officers - Letter of Agreement
Labor Relations,BHR,BHR-17.49 - Labor Agreement - Portland Fire Fighters Association - 2012-2016
Labor Relations,BHR,BHR-17.50 - Labor Agreement - City of Portland Professional Employees Association - 2013-2017
Labor Relations,BHR,BHR-17.51 - Labor Agreement - Portland Police Association - 2013-2017
Labor Relations,BHR,BHR-17.52 - Labor Agreement - Portland Police Commanding Officers Association - 2013-2015
Labor Relations,BHR,BHR-17.53 - Labor Agreement - Laborers Local 483 - Recreation - 2013
Labor Relations,BHR,BHR-17.54 - Labor Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications - 2010-2013
Labor Relations,BHR,BHR-17.55 - Labor Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications - 2013-2016
Labor Relations,BHR,BHR-17.56 - Labor Agreement - District Council of Trade Unions - 2013-2017
Labor Relations,BHR,BHR-17.57 - Labor Agreement - City of Portland Professional Employees Association - Increase Number of Compensatory Hours - Letter of Agreement
Labor Relations,BHR,BHR-17.58 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2014-2018
Labor Relations,BHR,"BHR-17.59 - Labor Agreement - AFSCME Local 189 and Water Bureau - Water Meter Technican Wages, Seniority and Commerical Driver's License Requirements - Letter of Agreement"
Labor Relations,BHR,BHR-17.60 - Labor Agreement - Laborers' Local 483 and Portland Parks & Recreation - Add Seasonal and Full-Time Employees in Park Ranger Classification to Collective Bargaining Agreement - Letter of Agreement
Labor Relations,BHR,BHR-17.61 - Labor Agreement - Laborers' Local 483 - Protected Sick Time for Seasonal Maintenance Workers - Letter of Agreement
Labor Relations,BHR,BHR-17.62 - Labor Agreement - Laborers' Local 483 and Portland Parks & Recreation - Protected Sick Time for Seasonal Park Rangers - Letter of Agreement
Labor Relations,BHR,BHR-17.63 - Labor Agreement - Portland Firefighters' Association Local 43 and Portland Fire & Rescue - Alternative Destination and Transportation Pilot Program - Letter of Agreement
Labor Relations,BHR,BHR-17.64 - Labor Agreement - AFSCME Local 189 and Portland Police Bureau - Crime Prevention Program Administrator Classification - Letter of Agreement
Labor Relations,BHR,BHR-17.65 - Labor Agreement - AFSCME Local 189 and Bureau of Development Services - Housing Inspector and Senior Housing Inspector Retroactive Wages Increases - Letter of Agreement
Labor Relations,BHR,BHR-17.66 - Labor Agreement - AFSCME Local 189 and Bureau of Emergency Communications - Full or Partial Shift Trades for Support Specialist Classification - Letter of Agreement
Labor Relations,BHR,BHR-17.67 - Labor Agreement - AFSCME Council 75 Local 189-3 and Portland Housing Bureau - 2015-2019
Labor Relations,BHR,BHR-17.68 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Partial Compliance Agreement
Labor Relations,BHR,BHR-17.69 - Labor Settlement Agreement - Premium Pay for Working Underground or in a Shored Excavation
Labor Relations,BHR,BHR-17.70 - Labor Agreement - Portland Police Commanding Officers Association - 2015-2018
Labor Relations,BHR,BHR-17.71 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Outstanding Phase I Matters
Labor Relations,BHR,BHR-17.72 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Full Compliance Agreement
Labor Relations,BHR,BHR-17.73 - Labor Agreement - AFSCME Local 189 - Letter of Agreement for Deanna Hattan
Labor Relations,BHR,BHR-17.74 - Labor Agreement - Portland Police Association - 2016-2020
Labor Relations,BHR,BHR-17.75 - Labor Agreement - Portland Police Commanding Officers Association - Amendment
Labor Relations,BHR,BHR-17.76 - Labor Agreement - Laborers' Local 483 and Portland Bureau of Transportation - Shift Premium Pay - Letter of Agreement
Labor Relations,BHR,BHR-17.77 - Labor Agreement - Laborers Local 483 - Portland City Laborers - 2017-2021
Labor Relations,BHR,BHR-17.78 - Labor Agreement - Laborers Local 483 - Recreation - 2017-2021
Labor Relations,BHR,BHR-17.79 - Labor Agreement - Professional & Technical Employees Local 17 - 2017-2021
Labor Relations,BHR,BHR-17.80 - Labor Agreement - District Council of Trade Unions - 2017-2020
Labor Relations,BHR,BHR-17.81 - Labor Agreement - Portland Fire Fighters Association - Premium Pay Eligibility Requirements for Technical Rescue Team Members - Letter of Agreement
Labor Relations,BHR,BHR-17.82 - Labor Agreement - Portland Fire Fighters Association - Settlement of Employee Grievances and Revision of City's Reprimand Policy
Labor Relations,BHR,BHR-17.83 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2018-2022
Labor Relations,BHR,BHR-17.84 - Labor Agreement - Portland Police Commanding Officers Association - 2018-2020
Labor Relations,BHR,BHR-17.85 - Labor Agreement - Portland Police Association - Memorandum of Agreement for Public Safety Support Specialist Classification
Land Divisions ,ENB,ENB-3.01 - Title 17 Land Division Related Administrative Rules
Leaves,HRAR,HRAR-6.01 - General Leaves of Absence
Leaves,HRAR,HRAR-6.02 - Holidays
Leaves,HRAR,HRAR-6.03 - Vacation
Leaves,HRAR,HRAR-6.04 (a) - Sick Leave
Leaves,HRAR,HRAR-6.04 (b) - Sick Leave
Leaves,HRAR,HRAR-6.05 - Family Medical Leave
Leaves,HRAR,HRAR-6.06 - Catastrophic Leave
Leaves,HRAR,HRAR-6.07 (A) - Military Leave - Vacation Donation Program
Leaves,HRAR,HRAR-6.07 - Military Leave
Leaves,HRAR,HRAR-6.08 - Funeral and Bereavement Leave
Leaves,HRAR,HRAR-6.09 - Jury Duty Leave
Leaves,HRAR,"HRAR-6.10 (A) - Leave for Victims of Domestic Violence, Sexual Assault or Stalking"
Leaves,HRAR,HRAR-6.10 - Leave to Attend Court or Other Legal Proceeding
Leaves,HRAR,HRAR-6.11 - Search and Rescue Operations and Disaster Relief
Leaves,HRAR,HRAR-6.12 - Conventions and Meetings
Leaves,HRAR,HRAR-6.13 - Supplemental Workers' Compensation Benefits
Leaves,HRAR,HRAR-6.14 - Restoration and Use of Accrued Leave for Members Receiving Benefits From the Fire Police Disability Retirement and Death Benefit Plan
Levies & Taxation,FIN,FIN-5.01 - FY 2003-04 Tax Levy
Levies & Taxation,FIN,FIN-5.02 - FY 2005-06 Tax Levy
Levies & Taxation,FIN,FIN-5.03 - FY 2006-07 Tax Levy
Levies & Taxation,FIN,FIN-5.04 - FY 2007-08 Tax Levy
Levies & Taxation,FIN,FIN-5.05 - FY 2008-09 Tax Levy
Levies & Taxation,FIN,FIN-5.06 - FY 2009-10 Tax Levy
Levies & Taxation,FIN,FIN-5.07 - FY 2010-11 Tax Levy
Levies & Taxation,FIN,FIN-5.08 - FY 2011-12 Tax Levy
Levies & Taxation,FIN,FIN-5.09 - FY 2012-13 Tax Levy
Levies & Taxation,FIN,FIN-5.10 - FY 2013-14 Tax Levy
Levies & Taxation,FIN,FIN-5.11 - FY 2014-15 Tax Levy
Levies & Taxation,FIN,FIN-5.12 - FY 2015-16 Tax Levy
Levies & Taxation,FIN,FIN-5.13 - FY 2016-17 Tax Levy
Levies & Taxation,FIN,FIN-5.14 - FY 2017-18 Tax Levy
Levies & Taxation,FIN,FIN-5.15 - FY 2018-19 Tax Levy
License Required,LIC,LIC-3.01 - Taxable Income after Business Activity has Ceased
"Licenses, Administration",LIC,"LIC-2.01 - ""Doing Business"" for an Estate"
"Licenses, Administration",LIC,"LIC-2.02 - ""Doing Business"" for a Trust"
"Licenses, Administration",LIC,LIC-2.03 - 2012 Tax Amnesty Policy
"Licenses, Definitions",LIC,LIC-1.01 - Oregon Modifications to Business Income
"Licenses, Definitions",LIC,LIC-1.02 - Definition of Owner - Sole Proprietor
"Licenses, Definitions",LIC,LIC-1.03 - Definition of Owners - Partnership
"Licenses, Definitions",LIC,LIC-1.04 - Definition of Total Gross Income & Gross Receipts for Apportionment and Exemption
"Licenses, Definitions",LIC,LIC-1.05 - Diversified Investing Fund Deduction
"Licenses, Exemptions",LIC,LIC-4.01 - Exemption from Tax for Individuals and Joint Return Filers
"Licenses, Exemptions",LIC,LIC-4.02 - Exemption for Insurance Producers
"Licenses, Exemptions",LIC,LIC-4.03 - Business License Tax Exemption for Real Estate Brokers
"Licenses, Exemptions",LIC,LIC-4.04 - Extension of Time to File Amended Returns Pursuant to the Decision in the Proctor Case
"Licenses, Fees",LIC,LIC-5.01 - Seasonal Businesses and Payment of Estimated Taxes
"Licenses, Fees",LIC,LIC-5.02 - Pay Ratio Surtax
"Licenses, Income",LIC,LIC-6.01 - Payments Deemed to be Compensation to Owners
"Licenses, Income",LIC,LIC-6.02 - Self-Employment Tax Deduction and Health Care Premium Deduction
"Licenses, Income",LIC,LIC-6.03 - Change of Ownership During the Year and Calculation of the Compensation Allowance Deduction
"Licenses, Income",LIC,LIC-6.04 - Patronage Dividends
"Licenses, Income",LIC,LIC-6.05 - Short Periods Count as Tax Year
"Licenses, Income",LIC,LIC-6.06 - Definition of Controlling Shareholders and Calculation of Number of Controlling Shareholders
"Licenses, Income",LIC,LIC-6.07 - Treatment of Currently Taxed Pass-Through Income
"Licenses, Income",LIC,LIC-6.08 - Partnerships - Partner Level Deduction Election
"Licenses, Income",LIC,LIC-6.09 - Qualified Retirement Plans
"Licenses, Income",LIC,LIC-6.10 - De Minimus Business Activity for Personal Services
"Licenses, Income",LIC,LIC-6.11 - Apportionment of Gains and Incomes Due to Sale of a Business
"Licenses, Income",LIC,LIC-6.12 - Business Activity and Apportionment of Sales of Tangible Personal Property
