CATEGORY_NAME,CONTENT_ID,DEPTH,END_DATE,EVENT_NAME,EVENT_TYPE_NAME,EXPIRE_DATE,LAST_UPDATED_DATE,LENGTH,LOCATION,PUBLISH_DATE,START_DATE,STATUS,SUMMARY_TEXT,TEXT,URL,NEIGHBORHOOD
SE Events,755381,2,2021-06-15 03:30:00 UTC,Foster-Powell NA Meetings,Meetings,,2020-03-04 22:46:31 UTC,,TBD - Check www.fosterpowell.com for location,,2021-06-14 13:30:00 UTC,A,,"<p>The Foster-Powell Neighborhood Association meets on the second Monday of the month at 6:30 PM, 5339 SE Foster Rd, Portland, OR 97206</p>
<p>&nbsp;</p>
<p>No meeting held in August.</p>",https://www.portlandoregon.gov/civic/article/755381,Foster-Powell
SE Events,755423,2,2021-06-15 00:00:00 UTC,Richmond NA Board Meeting,Meetings,,2020-03-04 22:50:34 UTC,,Waverly Heights Congregational United Church of Christ - 3300 SE Woodward Street,,2021-06-14 15:00:00 UTC,A,,<p>No meeting in January.</p>,https://www.portlandoregon.gov/civic/article/755423,Richmond
NW and Inner SW Events,778598,2,2021-06-15 02:30:00 UTC,Arlington Heights NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-19 00:48:24 UTC,,"virtual, contact president@arlingtonheightspdx.org ",,2021-06-15 01:00:00 UTC,A,,"<p>virtual, contact president@arlingtonheightspdx.org for meeting access</p>",https://www.portlandoregon.gov/civic/article/778598,Arlington Heights
SE Events,755467,2,2021-06-15 04:00:00 UTC,Montavilla NA Board Meeting,Community Events,,2020-03-04 23:09:25 UTC,,"Montavilla United Methodist Church, 232 SE 80th",,2021-06-15 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/755467,Montavilla
Central NE Events,708565,2,2021-06-15 03:30:00 UTC,Beaumont-Wilshire Neighborhood Association (BWNA) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:39:29 UTC,," Bethany Lutheran Church, basement activity room, N.E. Skidmore & 37th",2019-01-03 00:00:00 UTC,2021-06-15 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/708565,Beaumont-Wilshire
SW Events,765805,2,2021-06-15 03:00:00 UTC,Ashcreek Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-09 20:00:24 UTC,,Virtual - see swni.org/calendar for details,2020-11-09 20:00:24 UTC,2021-06-15 02:00:00 UTC,A,"Contact Taylor von Ahlefeld, president@ashcreekna.org. Website: ashcreekna.org",,https://www.portlandoregon.gov/civic/article/765805,Ashcreek
NW and Inner SW Events,778857,2,2021-06-16 02:30:00 UTC,Pearl District Land Use & Transportation Meeting,Land Use Planning,,2020-11-25 03:03:49 UTC,,,,2021-06-16 01:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778857,Pearl District
SE Events,755727,2,2021-06-16 03:30:00 UTC,North Tabor NA General Meeting,Meetings,,2020-03-04 23:32:23 UTC,,"5600 NE Glisan St, Portland, OR 97213, USA",,2021-06-16 01:30:00 UTC,A,,"<p>The North Tabor Neighborhood Association meets on the third Tuesday of the month at 7 PM, 5600 NE Glisan.</p>",https://www.portlandoregon.gov/civic/article/755727,North Tabor
NW and Inner SW Events,778956,2,2021-06-16 03:00:00 UTC,Sylvan-Highlands NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-26 01:07:13 UTC,,,,2021-06-16 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778956,Sylvan-Highlands
SW Events,779841,2,2021-06-16 02:30:00 UTC,"Southwest Neighborhoods, Inc. Land Use Committee",Neighborhood/Business Association Meeting,,2021-01-04 19:29:21 UTC,,Virtual - see swni.org/calendar for details,,2021-06-16 01:30:00 UTC,A,"Contact Gary Runde, land-use-cahir@swni.org. Website: https://swni.org/land-use-committee",,https://www.portlandoregon.gov/civic/article/779841,Southwest
NW and Inner SW Events,778611,2,2021-06-16 04:00:00 UTC,Forest Park NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-19 01:40:59 UTC,,virtual,,2021-06-16 02:00:00 UTC,A,,"<p>virtual meeting, contact <a href=""mailto:president@forestparkneighbors.org"">president@forestparkneighbors.org</a>&nbsp;for meeting access</p>",https://www.portlandoregon.gov/civic/article/778611,Forest Park
Central NE Events,780778,2,2021-06-16 04:00:00 UTC,Cully Association of Neighbors (CAN) Land Use Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:03:31 UTC,,,2021-02-01 22:02:00 UTC,2021-06-16 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780778,Cully
SW Events,779851,2,2021-06-16 21:00:00 UTC,"Southwest Neighborhoods, Inc. Finance committee",Neighborhood/Business Association Meeting,,2021-01-04 20:23:35 UTC,,Virtual - see swni.org/calendar for details,,2021-06-16 20:00:00 UTC,A,"Contact Teddy Okonokhua, treasurer@swni.org. Website: https://swni.org/board",,https://www.portlandoregon.gov/civic/article/779851,Southwest
NW and Inner SW Events,778821,2,2021-06-17 00:00:00 UTC,"Old Town Land Use Committee Meeting ",Land Use Planning,,2020-11-25 03:05:07 UTC,,,2020-11-25 03:05:07 UTC,2021-06-16 22:30:00 UTC,A,,<p>contact for meeting access planning@pdxoldtown.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778821,Old Town
SE Events,755798,2,2021-06-17 04:00:00 UTC,Mt. Tabor NA General Meeting,Meetings,,2020-03-05 00:06:50 UTC,,"Presbyterian Church, 5441 SE Belmont",,2021-06-17 02:00:00 UTC,A,,<p>Mt Tabor neighborhood association general meeting. No meetings in December.</p>,https://www.portlandoregon.gov/civic/article/755798,Mt. Tabor
SW Events,765815,2,2021-06-17 03:00:00 UTC,Southwest Hills Residential League,Neighborhood/Business Association Meeting,,2020-09-06 16:36:03 UTC,,Virtual - see swni.org/calendar for details,,2021-06-17 02:00:00 UTC,A,"Contact John Neumann, president@swhrl.org. Website: swhrl.org",,https://www.portlandoregon.gov/civic/article/765815,Southwest Hills
SW Events,779861,2,2021-06-17 04:00:00 UTC,"Southwest Neighborhoods, Inc. Transportation Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:27:28 UTC,,Virtual - see swni.org/calendar for details,,2021-06-17 02:00:00 UTC,A,"Contact: Katherine Christensen, transportation-chair@swni.org. Website: https://swni.org/transportation-committee",,https://www.portlandoregon.gov/civic/article/779861,Southwest
SE Events,755901,2,2021-06-18 04:00:00 UTC,Eastmoreland  NA General Meeting,Meetings,,2020-11-23 20:15:25 UTC,,"Duniway School Library, 7700 SE Reed College Place",2020-11-23 20:15:25 UTC,2021-06-18 02:00:00 UTC,A,,"<p>The Eastmoreland Neighborhood Association meets on the third Thursday of each month at 7 PM, Duniway School Library, 7700 SE Reed College Place.</p>
<p>No meetings in June, July and August.</p>",https://www.portlandoregon.gov/civic/article/755901,Eastmoreland
SE Events,755936,2,2021-06-18 04:00:00 UTC,South Tabor NA General Mtg,Meetings,,2020-03-05 00:19:00 UTC,,"Trinity Church, 2700 SE 67th Ave. ",,2021-06-18 02:00:00 UTC,A,,"<p>SOUTH TABOR NEIGHBORHOOD ASSOCIATION MEETINGS are held on the third Thursday of each month at Trinity Church, 2700 SE 67th Ave., at 7pm. Everyone is welcome to attend.</p>
<p>&nbsp;</p>
<p><a href=""http://www.southtabor.org/index.html"">http://www.southtabor.org/index.html</a></p>",https://www.portlandoregon.gov/civic/article/755936,South Tabor
NW and Inner SW Events,778624,2,2021-06-18 04:00:00 UTC,Goose Hollow Foothills League Neighborhood Meeting,Neighborhood/Business Association Meeting,,2020-11-19 01:44:55 UTC,,virtual,,2021-06-18 02:00:00 UTC,A,,<p>contact info@goosehollow.org for meeting access</p>,https://www.portlandoregon.gov/civic/article/778624,Goose Hollow
SW Events,779871,2,2021-06-18 03:45:00 UTC,"Southwest Neighborhoods, Inc. Watershed Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:30:35 UTC,,Virtual - see swni.org/calendar for details,,2021-06-18 02:00:00 UTC,A,"Contact: Murphy Terrell, watershed-chair@swni.org. Website: https://swni.org/watershed-committee",,https://www.portlandoregon.gov/civic/article/779871,Southwest
Central NE Events,780779,2,2021-06-18 04:00:00 UTC,Rose City Park Neighborhood Association (RCPNA) Land Use/Transportation Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:05:41 UTC,,,2021-02-01 22:05:00 UTC,2021-06-18 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780779,Rose City Park
SW Events,765826,2,2021-06-22 03:00:00 UTC,"Southwest Neighborhoods, Inc. Transportation Committee",Neighborhood/Business Association Meeting,,2020-11-01 00:57:20 UTC,,"Virtual - see swni.org/calendar for details, https://swni.org/transportation-committee",2020-11-01 00:57:20 UTC,2021-06-22 02:00:00 UTC,A,"Contact Katherine Christensen, transportation-chair@swni.org. Website: https://swni.org/transportation-committee",,https://www.portlandoregon.gov/civic/article/765826,Southwest
Inner NE Events,781848,2,2021-06-22 03:30:00 UTC,Eliot Neighborhood Association Meeting,Community Events,,2021-03-03 22:03:52 UTC,,,,2021-06-22 02:00:00 UTC,A,Eliot Neighborhood Association Meeting,<p>Please visit&nbsp;eliotneighborhood.org for zoom links/ meeting location.</p>,https://www.portlandoregon.gov/civic/article/781848,Eliot
Central NE Events,780780,2,2021-06-23 03:00:00 UTC,Cully Association of Neighbors (CAN) Board Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:06:38 UTC,,,2021-02-01 22:06:00 UTC,2021-06-23 01:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780780,Cully
SE Events,756042,2,2021-06-23 04:00:00 UTC,Laurelhurst NA Meeting,Meetings,,2020-03-05 00:25:13 UTC,,"All Saints Church, 3847 NE Glisan Street",,2021-06-23 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/756042,Laurelhurst
SW Events,779902,2,2021-06-24 04:00:00 UTC,"Southwest Neighborhoods, Inc. Board",Neighborhood/Business Association Meeting,,2021-01-04 20:40:42 UTC,,Virtual - see swni.org/calendar for details,,2021-06-24 02:00:00 UTC,A,"Contact Leslie Hammond, president@swni.org. Website: https://swni.org/board",,https://www.portlandoregon.gov/civic/article/779902,Southwest
SE Events,756007,2,2021-06-29 04:00:00 UTC,Creston-Kenilworth Board Meeting,Meetings,,2020-03-05 00:23:18 UTC,,"Shut Up and Eat, 3848 SE Gladstone St, Portland, OR 97202, USA",,2021-06-29 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/756007,Creston-Kenilworth
SW Events,765837,2,2021-06-29 03:00:00 UTC,"Southwest Neighborhoods, Inc. Equity & Inclusion Committee",Neighborhood/Business Association Meeting,,2020-11-01 00:58:59 UTC,,Virtual - see swni.org/calendar for details,2021-05-10 18:54:00 UTC,2021-06-29 02:00:00 UTC,A,"Contact Diane Victoria, equity-chair@swni.org. Website: https://swni.org/equity-committee",,https://www.portlandoregon.gov/civic/article/765837,Southwest
Inner NE Events,781864,2,2021-07-02 03:00:00 UTC,Northeast Coalition of Neighborhoods,Community Events,,2021-03-03 22:32:36 UTC,,email for meeting link/ location,,2021-07-02 01:30:00 UTC,A,Northeast Coalition of Neighborhoods,"<p>Visit www.necoalition.org or email info@necoaltion.org for details, agendas and meeting links</p>",https://www.portlandoregon.gov/civic/article/781864,Northeast
SE Events,755343,2,2021-07-02 04:00:00 UTC,Brentwood Darlington NA Meeting,Community Events,,2020-03-04 22:37:20 UTC,,"Brentwood-Darlington Community Center, 7211 SE 62nd Avenue, Portland, OR, United States",,2021-07-02 02:00:00 UTC,A,,"<p><span style=""font-size: 1.1em;"">The Brentwood-Darlington Neighborhood Association meets on the first Thursday of the month at 7 PM, Brentwood-Darlington Community Center, 7211 SE 62nd Avenue. Anyone with an interest in the Brentwood-Darlington neighborhood is welcome to join us. There is time each meeting for new business or to deal with livability issues neighbors are experiencing. Please join us.</span></p>",https://www.portlandoregon.gov/civic/article/755343,Brentwood
Central NE Events,780589,2,2021-07-02 04:00:00 UTC,Hollywood Neighborhood Association (HNA) Board Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:40:01 UTC,,,2021-01-28 20:53:00 UTC,2021-07-02 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780589,Hollywood
NW and Inner SW Events,778846,2,2021-07-07 02:30:00 UTC,Pearl District Land Use & Transportation Meeting,Land Use Planning,,2020-11-25 03:04:27 UTC,,,2020-11-25 03:04:27 UTC,2021-07-07 01:00:00 UTC,A,,<p>contact for meeting access planning@pearldistrict.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778846,Pearl District
Inner NE Events,782025,2,2021-07-07 03:00:00 UTC,King Neighborhood Association,Neighborhood Event,,2021-03-05 23:59:21 UTC,,Check website for location,,2021-07-07 01:30:00 UTC,A,King Neighborhood Association,"<p>King Neighborhood Association meets&nbsp;<strong>first Tuesday</strong>&nbsp;of every month 6:30PM-8PM. Please visit&nbsp;https://kingneighborhood.org/ for more information, location/ meeting links.&nbsp;</p>",https://www.portlandoregon.gov/civic/article/782025,King
SW Events,779818,2,2021-07-07 04:00:00 UTC,Homestead Neighborhood Association,Neighborhood/Business Association Meeting,,2021-01-04 18:58:55 UTC,,Virtual - see swni.org/calendar for details,,2021-07-07 02:00:00 UTC,A,Contact: contact@homesteadna.org. Website: homesteadna.org,,https://www.portlandoregon.gov/civic/article/779818,Homestead
Central NE Events,780781,2,2021-07-07 04:00:00 UTC,Rose City Park (RCPNA) Board Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:09:28 UTC,,,2021-02-01 22:08:00 UTC,2021-07-07 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780781,Rose City Park
North Events,756666,2,2021-07-08 03:00:00 UTC,North Portland Parks Advisory Group,Community Events,,2020-03-13 01:48:07 UTC,,"Kenton Firehouse, 8105 N Brandon Ave",,2021-07-08 01:00:00 UTC,A,Supporting parks in North Portland,,https://www.portlandoregon.gov/civic/article/756666,North
Inner NE Events,781826,2,2021-07-08 03:00:00 UTC,"Concordia Neighborhood Association ",Community Events,,2021-03-03 21:55:50 UTC,,Check website for location,,2021-07-08 01:30:00 UTC,A,Concordia Neighborhood Association,"<p>Please visit&nbsp;http://concordiapdx.org/ for more info or&nbsp;www.facebook.com/groups/ConcordiaPDX/<a href=""https://www.facebook.com/groups/ConcordiaPDX/""><br /></a></p>",https://www.portlandoregon.gov/civic/article/781826,Concordia
Inner NE Events,781831,2,2021-07-08 03:00:00 UTC,"Concordia Neighborhood Association ",Community Events,,2021-03-03 21:55:57 UTC,,Check website for location,,2021-07-08 01:30:00 UTC,A,Concordia Neighborhood Association,"<p>Please visit&nbsp;http://concordiapdx.org/ for more info or&nbsp;www.facebook.com/groups/ConcordiaPDX/<a href=""https://www.facebook.com/groups/ConcordiaPDX/""><br /></a></p>",https://www.portlandoregon.gov/civic/article/781831,Concordia
SE Events,755134,2,2021-07-08 03:00:00 UTC,Woodstock NA Meeting,Meetings,,2020-03-04 21:57:32 UTC,,"Woodstock Community Center, 5905 SE 43rd Ave, Portland, OR",,2021-07-08 02:00:00 UTC,A,Woodstock neighborhood association general meeting,"<p>For more information, please visit: <a href=""http://woodstockpdx.org/"">http://woodstockpdx.org/</a></p>",https://www.portlandoregon.gov/civic/article/755134,Woodstock
SW Events,767971,2,2021-07-08 04:00:00 UTC,South Portland Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:19:37 UTC,,Virtual - see swni.org/calendar for details,,2021-07-08 02:00:00 UTC,A,"Contact Michael Kaplan, president@southportlandna.org. Website: southportlandna.org",,https://www.portlandoregon.gov/civic/article/767971,South
SW Events,767991,2,2021-07-09 03:00:00 UTC,Marshall Park Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:27:28 UTC,,Virtual - see swni.org/calendar for details,,2021-07-09 01:00:00 UTC,A,"Contact Mike Charles, marshallparkchair@swni.org. Website: https://swni.org/marshallpark",,https://www.portlandoregon.gov/civic/article/767991,Marshall Park
NW and Inner SW Events,778834,2,2021-07-09 03:00:00 UTC,Pearl District Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:58:56 UTC,,,,2021-07-09 01:00:00 UTC,A,,<p>contact for meeting access communications@pearldistrict.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778834,Pearl District
SE Events,755614,2,2021-07-09 04:00:00 UTC,Buckman NA Meeting,Meetings,,2020-03-04 23:21:39 UTC,,Multnomah County Boardroom (501 SE Hawthorne Blvd),,2021-07-09 02:00:00 UTC,A,,"<p>The Buckman Neighborhood Association meetings take place on the second Thursday of every month (unless otherwise noted).</p>
<p>The board meeting goes from 6:20-7:00pm, and the general meeting runs from 7:00-9:00pm. Both meetings are open to anyone interested in attending.</p>",https://www.portlandoregon.gov/civic/article/755614,Buckman
SE Events,755667,2,2021-07-09 04:00:00 UTC,Sunnyside NA Board Meeting,Meetings,,2020-03-04 23:23:56 UTC,,SE Uplift 3534 SE Main St. Portland OR 97214,,2021-07-09 02:00:00 UTC,A,,"<p>The Sunnyside Neighborhood Association meets on the second Thursday of the month at 7:30 PM, SE Uplift, 3534 SE Main.</p>",https://www.portlandoregon.gov/civic/article/755667,Sunnyside
SE Events,755382,2,2021-07-13 03:30:00 UTC,Foster-Powell NA Meetings,Meetings,,2020-03-04 22:46:33 UTC,,TBD - Check www.fosterpowell.com for location,,2021-07-12 13:30:00 UTC,A,,"<p>The Foster-Powell Neighborhood Association meets on the second Monday of the month at 6:30 PM, 5339 SE Foster Rd, Portland, OR 97206</p>
<p>&nbsp;</p>
<p>No meeting held in August.</p>",https://www.portlandoregon.gov/civic/article/755382,Foster-Powell
SE Events,755424,2,2021-07-13 00:00:00 UTC,Richmond NA Board Meeting,Meetings,,2020-03-04 22:50:36 UTC,,Waverly Heights Congregational United Church of Christ - 3300 SE Woodward Street,,2021-07-12 15:00:00 UTC,A,,<p>No meeting in January.</p>,https://www.portlandoregon.gov/civic/article/755424,Richmond
NW and Inner SW Events,778599,2,2021-07-13 02:30:00 UTC,Arlington Heights NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-19 00:48:26 UTC,,"virtual, contact president@arlingtonheightspdx.org ",,2021-07-13 01:00:00 UTC,A,,"<p>virtual, contact president@arlingtonheightspdx.org for meeting access</p>",https://www.portlandoregon.gov/civic/article/778599,Arlington Heights
SE Events,755468,2,2021-07-13 04:00:00 UTC,Montavilla NA Board Meeting,Community Events,,2020-03-04 23:09:26 UTC,,"Montavilla United Methodist Church, 232 SE 80th",,2021-07-13 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/755468,Montavilla
Central NE Events,707382,2,2021-07-13 03:30:00 UTC,Beaumont-Wilshire Neighborhood Association (BWNA) Board Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:40:40 UTC,,"Bethany Lutheran Church, N.E. 37th & Skidmore (entrance on 37th side of church)",2017-04-20 20:08:00 UTC,2021-07-13 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/707382,Beaumont-Wilshire
SE Events,755511,2,2021-07-14 03:00:00 UTC,Reed NA Meeting,Meetings,,2020-03-04 23:11:31 UTC,,Reed College Performing Arts Building - 3203 SE Woodstock Boulevard,,2021-07-14 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/755511,Reed
Central NE Events,780529,2,2021-07-14 03:00:00 UTC,Sumner Association of Neighbors (SAN) Board Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:41:03 UTC,,4415 NE 87th Ave,2021-01-27 23:14:00 UTC,2021-07-14 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780529,Sumner
SW Events,766879,2,2021-07-14 03:00:00 UTC,Multnomah Neighborhood Association,Neighborhood/Business Association Meeting,,2020-10-05 19:49:57 UTC,,Virtual - see swni.org/calendar for details,,2021-07-14 02:00:00 UTC,A,"Contact Maria Thi Mai, multnomah-president@swni.org.  Website: multnomah.swni.org",,https://www.portlandoregon.gov/civic/article/766879,Multnomah
Central NE Events,780782,2,2021-07-14 04:00:00 UTC,Cully Association of Neighbors (CAN) General Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:16:59 UTC,,,2021-02-01 22:16:00 UTC,2021-07-14 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780782,Cully
SW Events,781719,2,2021-07-14 03:00:00 UTC,Arnold Creek Neighborhood Association,Neighborhood/Business Association Meeting,,2021-04-06 14:28:40 UTC,,Virtual - see arnoldcreek.org for details,2021-04-06 14:28:40 UTC,2021-07-14 02:00:00 UTC,A,"Contact Kathryn Daly and Sharon Keast, president@arnoldcreek.org. Website: arnoldcreek.org",,https://www.portlandoregon.gov/civic/article/781719,Arnold Creek
NW and Inner SW Events,778810,2,2021-07-14 20:00:00 UTC,Old Town Community Association Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:53:58 UTC,,,2020-11-25 02:53:58 UTC,2021-07-14 18:30:00 UTC,A,,<p>contact for meeting access chair@PDXoldtown.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778810,Old Town
SE Events,755551,2,2021-07-15 03:30:00 UTC,Brooklyn Actions Corps General Meeting,Community Events,,2020-03-04 23:18:37 UTC,,Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue,,2021-07-15 01:30:00 UTC,A,,"<p>Board meetings:The Brooklyn Action Corps Board meets on the second Wednesday of every month at 6:30 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>
<p>General Meetings: The Brooklyn Action Corps meets on the fourth Wednesday of odd months at 7 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>",https://www.portlandoregon.gov/civic/article/755551,Brooklyn
SW Events,767981,2,2021-07-15 03:30:00 UTC,Bridlemile Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:22:39 UTC,,Virtual - see swni.org/calendar for details,,2021-07-15 02:00:00 UTC,A,"Contact Richard Freimark, bridlemile-president@swni.org. Website: bridlemile.swni.org",,https://www.portlandoregon.gov/civic/article/767981,Bridlemile
SW Events,779828,2,2021-07-15 03:00:00 UTC,Crestwood Neighborhood Association,Neighborhood/Business Association Meeting,,2021-01-04 19:21:58 UTC,,Virtual - see swni.org/calendar for details,,2021-07-15 02:00:00 UTC,A,Contact: contact-crestwood@swni.org,,https://www.portlandoregon.gov/civic/article/779828,Crestwood
SE Events,755902,2,2021-07-16 04:00:00 UTC,Eastmoreland  NA General Meeting,Meetings,,2020-11-23 20:15:27 UTC,,"Duniway School Library, 7700 SE Reed College Place",2020-11-23 20:15:27 UTC,2021-07-16 02:00:00 UTC,A,,"<p>The Eastmoreland Neighborhood Association meets on the third Thursday of each month at 7 PM, Duniway School Library, 7700 SE Reed College Place.</p>
<p>No meetings in June, July and August.</p>",https://www.portlandoregon.gov/civic/article/755902,Eastmoreland
SE Events,755937,2,2021-07-16 04:00:00 UTC,South Tabor NA General Mtg,Meetings,,2020-03-05 00:19:03 UTC,,"Trinity Church, 2700 SE 67th Ave. ",,2021-07-16 02:00:00 UTC,A,,"<p>SOUTH TABOR NEIGHBORHOOD ASSOCIATION MEETINGS are held on the third Thursday of each month at Trinity Church, 2700 SE 67th Ave., at 7pm. Everyone is welcome to attend.</p>
<p>&nbsp;</p>
<p><a href=""http://www.southtabor.org/index.html"">http://www.southtabor.org/index.html</a></p>",https://www.portlandoregon.gov/civic/article/755937,South Tabor
NW and Inner SW Events,778625,2,2021-07-16 04:00:00 UTC,Goose Hollow Foothills League Neighborhood Meeting,Neighborhood/Business Association Meeting,,2020-11-19 01:44:57 UTC,,virtual,,2021-07-16 02:00:00 UTC,A,,<p>contact info@goosehollow.org for meeting access</p>,https://www.portlandoregon.gov/civic/article/778625,Goose Hollow
SW Events,779872,2,2021-07-16 03:45:00 UTC,"Southwest Neighborhoods, Inc. Watershed Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:30:37 UTC,,Virtual - see swni.org/calendar for details,,2021-07-16 02:00:00 UTC,A,"Contact: Murphy Terrell, watershed-chair@swni.org. Website: https://swni.org/watershed-committee",,https://www.portlandoregon.gov/civic/article/779872,Southwest
SW Events,779880,2,2021-07-16 03:00:00 UTC,"Southwest Neighborhoods, Inc. Schools Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:33:41 UTC,,Virtual - see swni.org/calendar for details,,2021-07-16 02:00:00 UTC,A,"Contact: Patty McMahon, schools-chair@swni.org. Website: https://swni.org/schools-committee",,https://www.portlandoregon.gov/civic/article/779880,Southwest
Central NE Events,780783,2,2021-07-16 04:00:00 UTC,Rose City Park Neighborhood Association (RCPNA) Land Use/Transportation Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:17:37 UTC,,,2021-02-01 22:17:00 UTC,2021-07-16 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780783,Rose City Park
Inner NE Events,781849,2,2021-07-20 03:30:00 UTC,Eliot Neighborhood Association Meeting,Community Events,,2021-03-03 22:03:54 UTC,,,,2021-07-20 02:00:00 UTC,A,Eliot Neighborhood Association Meeting,<p>Please visit&nbsp;eliotneighborhood.org for zoom links/ meeting location.</p>,https://www.portlandoregon.gov/civic/article/781849,Eliot
NW and Inner SW Events,778858,2,2021-07-21 02:30:00 UTC,Pearl District Land Use & Transportation Meeting,Land Use Planning,,2020-11-25 03:03:51 UTC,,,,2021-07-21 01:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778858,Pearl District
SE Events,755728,2,2021-07-21 03:30:00 UTC,North Tabor NA General Meeting,Meetings,,2020-03-04 23:32:25 UTC,,"5600 NE Glisan St, Portland, OR 97213, USA",,2021-07-21 01:30:00 UTC,A,,"<p>The North Tabor Neighborhood Association meets on the third Tuesday of the month at 7 PM, 5600 NE Glisan.</p>",https://www.portlandoregon.gov/civic/article/755728,North Tabor
NW and Inner SW Events,778957,2,2021-07-21 03:00:00 UTC,Sylvan-Highlands NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-26 01:07:15 UTC,,,,2021-07-21 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778957,Sylvan-Highlands
SW Events,779842,2,2021-07-21 02:30:00 UTC,"Southwest Neighborhoods, Inc. Land Use Committee",Neighborhood/Business Association Meeting,,2021-01-04 19:29:23 UTC,,Virtual - see swni.org/calendar for details,,2021-07-21 01:30:00 UTC,A,"Contact Gary Runde, land-use-cahir@swni.org. Website: https://swni.org/land-use-committee",,https://www.portlandoregon.gov/civic/article/779842,Southwest
Central NE Events,707437,2,2021-07-21 04:00:00 UTC,Grant Park Neighborhood Association (GPNA) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:43:13 UTC,,Grant Park Church 2728 NE 34th Ave,,2021-07-21 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/707437,Grant Park
Central NE Events,707474,2,2021-07-21 04:00:00 UTC,Rose City Park Neighborhood Association (RCPNA) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:42:31 UTC,,German American Society 5626 NE Alameda,,2021-07-21 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/707474,Rose City Park
Central NE Events,780530,2,2021-07-21 03:30:00 UTC,Sumner Association of Neighbors (SAN) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:41:27 UTC,,4415 NE 87th Ave,2021-01-27 23:15:00 UTC,2021-07-21 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780530,Sumner
SW Events,779852,2,2021-07-21 21:00:00 UTC,"Southwest Neighborhoods, Inc. Finance committee",Neighborhood/Business Association Meeting,,2021-01-04 20:23:37 UTC,,Virtual - see swni.org/calendar for details,,2021-07-21 20:00:00 UTC,A,"Contact Teddy Okonokhua, treasurer@swni.org. Website: https://swni.org/board",,https://www.portlandoregon.gov/civic/article/779852,Southwest
