neighborhood_id,neighborhood_name,new_neighborhood_name,website_url,correspondence_to,meeting_time,meeting_location,board_time,board_location,landuse_time,landuse_location
70,Piedmont Neighborhood Association,Piedmont,http://www.PiedmontNeighborhood.com,"Piedmont Neighborhood Association 2209 N. Schofield St.  Portland, OR 97217 ","Time:  7:00 p.m.   Day:  Last Thursday of January, April, July and October. ",Location:  June Key Delta Community Center 5940 N. Albina Street ,Time:  7:00 p.m.   Day: Third Wednesday of each month. No meeting in December.  ,Location:  Peninsula Park Community Center Fireside Room 700 N. Rosa Parks Way ,,
71,Pleasant Valley Neighborhood Association,Pleasant Valley,http://www.eastportland.org/pleasantvalley,"Pleasant Valley Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","7 PM, Third Wednesday of Jan, March, May, July, Sept & Nov.",Alice Ott Middle School – in the library at 7 pm - 8:30 pm 12500 SE Ramona St. ,"5pm, 1st Wednesday of Jan, March, May, July, Sept, and Nov -- contact to confirm ",Contact to confirm,,
72,Reed Neighborhood Association,Reed,http://www.reedneighborhood.org,"board@reedneighborhood.org, or  Reed Neighborhood Association c/o SE Uplift 3534 SE Main St.  Portland, OR, 97214 ",Meetings: Second Wednesday of May and October  Time: 6:30 PM   ,"Reed College Performing Arts Building - 3203 SE Woodstock Boulevard  For updated time and location for all meetings, please visit www.reedneigbhorhood.org",Meetings: Second Tuesdays of the month. No meeting in December.   Time: 6:30 PM   ,Reed College Performing Arts Building - 3203 SE Woodstock Boulevard    ,,
73,Richmond Neighborhood Association,Richmond,http://richmondpdx.org/,"Richmond Neighborhood Association Chair Debby Hochhalter Richmond.pdx.chair@gmail.com c/o Southeast Uplift Neighborhood Program 3534 SE Main St. Portland, OR 97214 ","Meetings: Second Monday of the month, no meetings in January. Time: 7:00 PM ",Waverly Heights UCC basement 3300 SE Woodward St.  Enter through side door on east side of bldg. ,,,,
74,Rose City Park Neighborhood Association,Rose City Park,http://www.rcpna.org,"Rose City Park Neighborhood Association, c/o Central Northeast Neighbors, 4415 NE 87th Ave, Portland, OR 97220","General meetings held in: January, March, May and October.","For dates, location and times please visit out website or contact Chair Tamera DeRidder ","Board meetings held in:  February, April, June, August, September, & November.","For dates, location and times please visit out website: www.RCPNA.org",,
75,Roseway Neighborhood Association,Roseway,http://www.roseway.org,"Roseway Neighborhood Association, c/o Central Northeast Neighbors, 4415 NE 87th Ave, Portland, OR 97220","7:00 PM, 2nd Tues. of April, July and October.  Elections in October.","Grace Lutheran Church, 7610 NE Fremont St.","Except for August and December, we hold monthly board meetings from 7:00 PM to 8:30 PM on the 2nd Tuesday of the month. ","Grace Lutheran Church, 7610 NE Fremont St.  All board meetings are open to the public. ",,
76,Russell Neighborhood Association,Russell,http://russellneighbors.org/,"1017 Northeast 117th Ave, Portland, OR 97220","7:00 PM, 3rd Thursday of the month, except July, August & December. Subject to change. ","University of Western States, Hampton Hall, 2900 NE 132nd Ave.",,,,
77,Sabin Community Association,Sabin,http://www.sabinpdx.org/,"Sabin President, email: donrouzie@icloud.com Sabin Community Association, c/o Northeast Coalition of Neighborhoods, 4815 NE 7th Ave, Portland, OR 97211   https://www.facebook.com/Sabinpdx "," Our meetings are currently remote. Date, location and agenda announced via newsletter and Facebook.  http://www.sabinpdx.org/ ", ,"Our meetings are currently remote. Date, location and agenda announced via newsletter and Facebook.  http://www.sabinpdx.org/  ",  ,7 pm on the first Wednesday of each month- check website for meeting location/ links,check website for meeting times/ links 
78,Sellwood-Moreland Improvement League (SMILE),Sellwood-Moreland,http://www.sellwoodmoreland.org/ ,"8210 SE 13th, 97202,  503-234-3570 ",Meetings: 1st Wednesday of every month Time: 7:30 PM,"SMILE Station 8210 SE 13th Ave. Portland, OR 97202  NOTE: currently all meetings are being conducted via ZOOM due to COVID",Meetings: 3rd Wednesday of every month Time: 7:30 PM ,"SMILE Station 8210 SE 13th Ave. Portland, OR 97202.  NOTE: currently all meetings are being conducted via ZOOM due to COVID",,
79,South Burlingame Neighborhood Association,South Burlingame,https://southburlingamena.org,contact@southburlingamena.org ,Annual Meeting and Elections is held on the 2nd Thursday in May at 7pm.,Check website for meeting location. ,Board meetings are held on the 2nd Thursday of most months at 7pm.,Check website for meeting location.,,
80,Mt Tabor Neighborhood Association,Mt. Tabor,http://www.mttaborpdx.org,"Email: contact.mtna@gmail.com  Address: Mt Tabor Neighborhood Association 5122 SE Hawthorne Blvd Portland, OR  97215 ","7:00 PM 3rd Wednesday of the month, except December.","Mt Tabor Presbyterian Church, 5441 SE Belmont",,,,
81,St Johns Neighborhood Association,St. Johns,http://www.stjohnspdx.org/,"2209 N. Schofield St, Portland, OR, 97217 ","7 pm, 2nd Monday of the month.","St. John's Community Center, 8427 N. Central Currently holding virtual meetings, check website stjohnspdx.org ","7:00 pm, last Wednesday of the month. Microsoft Teams, check website stjohnspdx.org calendar for link. ","BES Water Lab, 6543 N Burlington Ave ",,
82,Southwest Hills Residential League  SWHRL,Southwest Hills,http://www.swhrl.org,"SWHRL, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy., Portland, OR  97219-2457 ","Meetings: 3rd Wednesday of January, May & October.  Elections held in May.  Time: 6:30 PM - 8:30 PM","Ainsworth Elementary 2425 SW Vista Ave.  Portland, OR ","Board meetings are usually the 3rd Wednesday, 7:00 PM - 8:30 PM No separate meeting in August or on membership meeting nights.  ","Ascension Episcopal Parish, 1823 SW Spring St",,
83,Sullivan's Gulch Neighborhood Association,Sullivan's Gulch,http://www.sullivansgulch.org,"Sullivan's Gulch Neighborhood Association, c/o Holladay Park Plaza 1300 NE 16th Ave, Portland, OR 97232 Certified mail sgnagulchnet@gmail.com","1st Tuesdays, Land Use Transportation Committee meets from 6 to 7:30 pm and Board Meeting is held 7:30 to 9 pm All spring and fall, dates and location announced on the SGNA website.  "," Holladay Park Plaza, 1300 NE 16th, 97232  ","1st Tuesdays, Land Use Transportation Committee meets from 6 to 7:30 pm and Board Meeting is held 7:30 to 9 pm. All neighbors are welcome to attend. All Spring and Fall, dates and location announced on the SGNA website.  ","Holladay Park Plaza, 1300 NE 16th, 97232 ",meets the 1st Tuesday of the month from 6:00 to 7:30 pm. ,"Holladay Park Plaza, 1300 NE 16th, 97232 "
84,Sumner Association of Neighbors,Sumner,http://sumnerpdx.org,"Yvonne Rice,  4415 NE 87th Ave, Portland, OR  97220            503-453-5286 ",General Meetings: held the third Tuesday every other month starting in January at 7:00 pm. ,"CNN Community Room, 4415 NE 87th Ave (due to COVID-19 meetings are currently held through Zoom) ",Board Meetings: held the second Tuesday every other month starting in January at 6:30 pm.   ,"CNN Community Room, 4415 NE 87th Ave (due to COVID-19 meetings are currently held through Zoom)",,
85,Sunderland Neighborhood Association,Sunderland,,"Central Northeast Neighbors,4415 NE 87th Ave, 97220; (503) 823-3157.",Currently inactive.  Call Central Northeast Neighbors for meeting time and other information: 503-823-3156. ,,,,,
86,Sunnyside Neighborhood Association,Sunnyside,http://www.sunnysideportland.org,"3534 SE Main St.  Portland, OR 97214 Email: board@sunnysideportland.org  ",Meetings: Second Thursday of the month. Time: 7:00 PM,"SE Uplift Fireside Room 3534 SE Main St. Portland, OR 97214 ",Meetings: Second Thursday of the month. Time: 8:00 PM ,"SE Uplift, Fireside Room, 3534 SE Main St",,
87,Sylvan-Highlands Neighborhood Association,Sylvan-Highlands,http://www.sylvanhighlands.org/,"Sylvan-Highlands Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210","7:00 - 8:30 pm, 2nd Tuesday of the month Elections in May ","Fire Station 16, 1715 SW Skyline Blvd.","7-8:30 pm, 2nd Tuesday of the month ","Fire Station 16, 1715 SW Skyline Blvd.",,
88,University Park Neighborhood Association,University Park,http://upnapdx.org,"University Park Neighborhood Association, c/o North Portland Neighborhood Services, 2209 N Schofield, Portland, OR 97217","General meetings, held quarterly, are open to all University Park Neighborhood residents on the fourth Monday of each January, April July and October. ","7:00 PM University of Portland, Chiles Center at Portsmouth and N. Willamette Blvd. or on google suite, check website ","7:00 PM, 2nd Monday of the month.","Portsmouth Trinity Lutheran Church,  7119 N. Portsmouth.  or on google suite, check website ",,
89,Vernon Neighborhood Association,Vernon,http://vernonpdx.org; https://www.facebook.com/groups/VernonPDX,"vnaboard@gmail.com   Vernon Neighborhood Association c/o Northeast Coalition of Neighborhoods 4815 NE 7th Ave Portland, OR 97211 ","3rd Wednesday of the month, 7-9pm ",Please check website and/ or Facebook group for updated meeting locations/ zoom links vernonpdx.org and https://www.facebook.com/groups/VernonPDX ,"3rd Wednesday of the month, 7-9pm  ","Salt & Light Lutheran Church Sunroom, 5431 NE 20th Ave and Killingsworth ",,
90,West Portland Park Neighborhood Association,West Portland Park,http://swni.org/w_portland_park,"c/o SWNI, 7688 SW Capitol Hwy, Portland, OR  97219-2457 ","7:00-8:30 PM, 2nd Thursday every month, except December.  Elections held in September.  ","Jackson Middle School Library 10625 SW 35th St.  Portland, OR 97219  ", ,,,
91,Wilkes Community Group,Wilkes,http://www.eastportland.org/wilkes,"Wilkes Community Group, c/o EPCO, 1017 NE 117th Avenue, Portland, Oregon 97220 ","6:30 PM, 1st Tuesday of the month except July, August & December. The annual meeting is November wherein elections take place. ","St George Church, 2101 NE 162nd Ave",,,,
92,Woodland Park Neighborhood Association,Woodland Park,http://www.eastportland.org/woodlandpark,"Woodland Park Neighborhood Association 1017 NE 117th Ave, Portland, OR 97220 ",April and October. Contact for meeting details. ,,,,,
93,Woodlawn Neighborhood Association,Woodlawn,http://GoWoodlawn.com,"c/o Northeast Coalition of Neighborhoods 4815 NE 7th Ave. Portland, OR 97211 ","7 - 9 pm, 1st Wednesday of the month except August  All neighbors are welcome.  ","Classic Foods 817 NE Madrona Portland, OR  97211 ","7 - 9 pm, 1st Wednesday of the month except August  All neighbors are welcome.  ","Classic Foods 817 NE Madrona Portland, OR  97211 ",1st Sundays of the month 4:30 pm - 6:00 pm ,"Ps & Qs Market, 1301 NE Dekum  Portland, 97211 "
94,Woodstock Neighborhood Association,Woodstock,http://www.woodstockpdx.org,"info@woodstockpdx.org Woodstock Neighborhood Association c/o Southeast Uplift Neighborhood Program 3534 SE Main St Portland, OR 97214   ",Meetings: First Wednesday  of the month. Time: 7:00 PM,"Woodstock Community Center SE 43rd and Knight St.  Portland, OR  (5905 SE 43rd) ",,,,
95,Powellhurst-Gilbert Neighborhood Association,Powellhurst-Gilbert,http://pgpride.org/,"Powellhurst-Gilbert Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220  pgnaboard@gmail.com ",Please check the website https://www.pgpride.org/ for the meeting information. You can also subscribe to the mail chimp newsletter on the website that will have the most recent information. ,,,,,
